test_number,evaluation_time_seconds,cores_used
1,0.123619,10
2,0.129310,10
3,0.125563,10
4,0.121891,10
5,0.120424,10
6,0.124726,10
7,0.125792,10
8,0.123357,10
9,0.122498,10
10,0.121809,10
11,0.124038,10
12,0.121914,10
13,0.128641,10
14,0.122380,10
15,0.128751,10
16,0.127585,10
17,0.125221,10
18,0.123898,10
19,0.123923,10
20,0.122622,10
21,0.122115,10
22,0.124724,10
23,0.128082,10
24,0.122556,10
25,0.129487,10
26,0.120034,10
27,0.122024,10
28,0.126706,10
29,0.124419,10
30,0.124750,10
31,0.121272,10
32,0.123098,10
33,0.121760,10
34,0.124414,10
35,0.128106,10
36,0.125723,10
37,0.123250,10
38,0.121097,10
39,0.124739,10
40,0.122255,10
41,0.123142,10
42,0.123483,10
43,0.127108,10
44,0.123010,10
45,0.124198,10
46,0.127182,10
47,0.128494,10
48,0.123138,10
49,0.124353,10
50,0.125406,10
51,0.121574,10
52,0.126979,10
53,0.122862,10
54,0.120699,10
55,0.122138,10
56,0.125652,10
57,0.121856,10
58,0.121490,10
59,0.121138,10
60,0.121752,10
61,0.121042,10
62,0.123609,10
63,0.124087,10
64,0.120607,10
65,0.126414,10
66,0.124339,10
67,0.126105,10
68,0.122755,10
69,0.129512,10
70,0.122930,10
71,0.120175,10
72,0.123016,10
73,0.124990,10
74,0.127844,10
75,0.122533,10
76,0.122046,10
77,0.122617,10
78,0.121988,10
79,0.121350,10
80,0.123154,10
81,0.122395,10
82,0.124862,10
83,0.124618,10
84,0.123691,10
85,0.120593,10
86,0.124614,10
87,0.124934,10
88,0.124625,10
89,0.118642,10
90,0.128330,10
91,0.122567,10
92,0.124939,10
93,0.121617,10
94,0.122035,10
95,0.121498,10
96,0.121578,10
97,0.122870,10
98,0.127898,10
99,0.123609,10
100,0.123707,10
