Generations 300
Tau 0.070711
Epsilon0 0.000010
Lambda 150
Mu 50
BoxMin -1.000000
BoxMax 1.000000
EvaluationTime 1.4944
Fitness 0.700173
Sigma 0.042148
Points 200

Points (x,y,z):
0.777561 0.475146 0.215032
-0.887734 0.016647 0.278156
-0.632641 0.613807 0.391338
-0.647472 -0.662329 -0.114050
-0.734357 -0.594727 -0.388037
-0.102050 -0.872691 -0.387114
-0.345337 0.497071 0.664425
0.919611 0.317636 -0.207367
0.065759 -0.946012 0.248150
0.537894 -0.562461 0.641273
-0.426902 0.481439 0.618353
-0.347193 0.258759 0.928262
-0.127509 0.970448 -0.272356
-0.352308 -0.473663 0.689554
-0.956476 -0.326742 0.163988
0.140236 0.656885 0.720080
-0.927878 0.179308 0.124813
-0.419910 0.843928 -0.450085
0.555153 -0.587225 0.495112
0.267017 -0.589021 -0.557621
0.337605 -0.868600 -0.255161
-0.098704 0.058294 0.955344
-0.779158 -0.361728 -0.152712
0.528278 0.168525 -0.668423
-0.903079 0.197448 0.294222
-0.623656 0.025439 0.790216
-0.836510 0.008156 0.378400
0.743429 0.143970 -0.626333
-0.554254 0.069255 0.789709
-0.493511 -0.279357 0.609761
-0.462168 -0.695872 -0.418742
0.442418 -0.116584 -0.883487
0.602216 0.691157 0.040243
0.334908 0.994594 0.281854
0.936976 -0.439142 0.019363
0.887786 -0.024796 -0.544812
0.876673 -0.518988 0.392135
-0.592018 -0.534237 -0.697889
0.748459 -0.324920 0.343576
-0.616899 -0.114167 -0.833250
0.103922 0.866635 -0.300390
-0.185362 0.695697 0.456922
0.936003 -0.226873 0.096239
-0.797589 0.634172 0.350007
-0.816894 -0.320086 0.481921
0.135682 -0.057845 -0.894828
-0.808996 -0.224098 -0.640909
0.382778 0.802515 0.435834
-0.035326 0.523105 0.966853
-0.274497 -0.628907 0.750907
-0.399309 -0.061702 0.930307
-0.998891 0.130476 0.393567
0.601021 0.727284 0.469502
0.819021 0.485817 0.215874
0.209537 -0.943361 -0.402553
0.195771 -0.943695 -0.408977
-0.762443 -0.384921 -0.429681
-0.497527 0.375585 0.508828
-0.784031 -0.409530 0.242247
0.290068 0.837179 0.304105
