Generations 350
Tau 0.070711
Epsilon0 0.000010
Lambda 150
Mu 50
BoxMin -1.000000
BoxMax 1.000000
EvaluationTime 1.7255
Fitness 0.745926
Sigma 0.044115
Points 200

Points (x,y,z):
0.837492 0.515001 0.250897
-0.931777 -0.001076 0.348096
-0.547427 0.516321 0.341317
-0.618323 -0.559520 0.018534
-0.614161 -0.735741 -0.372914
-0.132670 -0.894132 -0.454983
0.127420 0.326588 0.958378
0.884622 0.417047 -0.114871
0.027160 -0.875053 0.123301
0.803181 -0.549525 0.371452
-0.506127 0.593684 0.728627
-0.631658 0.439840 0.539919
0.032960 0.967993 -0.191702
-0.312310 -0.454137 0.713982
-0.920359 -0.590948 0.056990
0.296524 0.478705 0.816684
-0.995441 -0.012747 0.260836
-0.363454 0.828534 -0.490410
0.711853 -0.584396 0.521963
0.313665 -0.529202 -0.591465
0.203393 -0.948497 -0.322771
-0.380940 0.205444 0.901745
0.116607 0.022317 0.941641
0.598066 0.277936 -0.573444
-0.872785 0.111885 0.265631
-0.745668 0.195511 0.555909
-0.726172 0.082538 0.396545
0.619196 0.087417 -0.737758
-0.558566 0.061598 0.785301
-0.489918 -0.302577 0.632890
-0.558085 -0.691558 -0.519559
0.232058 -0.330219 -0.858229
0.614562 0.663133 0.009844
0.257886 0.976959 0.302924
0.904930 -0.329305 -0.047201
0.821073 -0.049773 -0.612187
0.823103 -0.485267 0.238262
-0.454790 0.023086 0.783867
0.775872 -0.294299 0.322391
-0.746918 -0.061509 -0.825392
-0.066323 0.782906 -0.438132
-0.252890 0.687521 0.437578
0.872381 -0.239659 0.098846
-0.880893 0.666753 0.241950
-0.810194 -0.258887 0.440313
0.012130 0.006480 -0.842517
-0.628450 -0.305688 -0.448051
0.414504 0.905186 0.424755
0.181481 0.540719 0.875921
-0.354126 -0.600739 0.649389
-0.353577 0.069219 0.993306
-0.929106 0.144785 0.485877
0.604847 0.619799 0.406272
0.779191 0.554145 0.250422
-0.004517 -0.827883 -0.265711
0.178630 -0.972881 -0.389140
-0.669547 -0.506987 -0.524419
-0.447598 0.275998 0.729496
-0.684148 -0.281043 0.364714
0.265952 0.736470 0.232789
-0.261691 0.215215 0.916473
0.387027 -0.338783 -0.888408
-0.967106 -0.061984 -0.390688
-0.289810 0.523506 -0.759784
-0.226550 0.270307 0.815868
0.594749 0.738656 0.458728
0.796189 0.353176 0.223480
-0.864008 -0.451293 0.015889
-0.796106 -0.102171 -0.712994
-0.767202 0.139502 -0.769289
-0.360005 0.785405 0.199510
-0.552423 -0.770726 -0.378488
-0.401191 -0.562530 0.523471
-0.094523 0.196501 -0.911230
-0.402882 0.798816 0.419897
0.272013 0.827758 0.452551
0.821735 0.296037 -0.574560
-0.087907 0.857297 0.086769
-0.521001 0.040667 -0.837441
0.013235 0.952478 -0.270318
0.956704 0.427842 0.151192
0.302772 0.738035 0.458648
-0.530779 -0.024051 -0.731472
-0.614451 0.193626 0.550058
0.244321 -0.398896 -0.698942
-0.062763 -0.698727 -0.650019
0.260253 0.736202 -0.404228
0.712589 0.137140 -0.773855
-0.135657 -0.963208 -0.299784
0.566436 -0.673869 0.132709
-0.993303 0.084342 0.256815
0.770181 0.678314 -0.128600
0.820062 0.232815 0.268126
0.726555 0.220294 0.430461
-0.994800 -0.091986 0.201484
0.771978 -0.138554 0.538314
-0.568819 -0.445916 -0.667084
-0.189009 0.065294 0.918629
-0.214848 0.743614 0.480238
0.833633 0.359843 -0.175870
0.149958 -0.991709 0.152603
-0.574346 0.254153 0.873282
-0.336780 0.482772 0.937373
-0.477417 0.944269 0.187718
0.974656 0.371681 0.143980
0.810959 0.284531 0.501783
-0.754269 -0.631786 -0.292121
-0.330679 0.565543 0.646849
0.488008 -0.391629 0.302753
-0.518023 -0.471880 0.583113
-0.007277 0.077548 -0.978171
-0.468731 -0.022156 -0.937852
-0.090150 0.500875 -0.669477
-0.302191 0.334828 0.706081
-0.768443 -0.560824 0.543683
0.240399 0.182560 -0.831870
0.728962 -0.436251 -0.206821
-0.414360 -0.849767 -0.410567
0.622099 -0.365078 -0.573534
0.438673 -0.532070 0.774994
-0.764960 -0.512104 0.325983
-0.272812 -0.718435 -0.513042
-0.363862 -0.587330 -0.844411
0.787627 -0.202550 0.203738
0.410220 0.959310 0.364688
0.898756 -0.063227 -0.558955
-0.234947 -0.625994 0.605056
0.284273 0.205329 0.973898
0.102769 0.556261 0.859866
-0.301729 -0.681053 0.879170
-0.126437 -0.834707 -0.454387
0.296832 0.406267 0.890330
0.433092 0.403839 0.770785
0.561435 0.740767 -0.357999
-0.965306 -0.389856 0.207179
0.390602 -0.586332 0.576162
-0.403857 -0.923416 0.257949
0.381861 0.865977 0.453053
0.246410 -0.988460 0.296221
-0.623172 0.073248 -0.729131
-0.466900 -0.588722 -0.408848
-0.655542 0.802893 0.360193
0.058026 0.905603 0.404193
-0.412926 -0.166297 -0.958671
0.257108 -0.913081 -0.312799
-0.786463 -0.361640 0.438599
-0.205574 0.531713 -0.639806
0.800319 -0.086919 -0.407464
0.746588 -0.479887 -0.424768
0.939528 0.123358 -0.340597
0.251763 -0.949584 -0.262916
0.575790 0.850880 0.113744
0.531179 -0.663165 -0.063794
-0.314092 0.046109 0.780647
0.729461 0.571311 0.200433
0.589111 -0.278062 -0.828457
-0.342142 -0.798869 -0.221208
-0.820157 -0.186708 0.681979
0.795961 0.666051 -0.164520
0.791914 -0.298038 0.200988
-0.713338 0.087296 0.497850
0.650294 -0.581543 -0.488534
-0.513368 0.749183 0.228053
0.199687 -0.068107 0.977496
-0.499666 -0.354038 0.706361
-0.135053 0.937201 0.173909
0.968022 -0.198287 0.209793
-0.872258 -0.522140 -0.203061
0.452620 0.512221 0.600385
0.040334 -0.918557 0.523975
0.725649 -0.531162 0.272824
0.744330 -0.565561 0.370460
0.573067 -0.511701 -0.409921
-0.759292 -0.509757 -0.452795
0.173148 0.982887 -0.352713
-0.104803 0.819179 0.305606
-0.382271 -0.945537 0.251592
0.021877 -0.587750 0.918000
-0.510334 0.381436 0.762610
0.037890 -0.318878 0.150611
-0.167918 0.379097 0.812267
-0.537731 0.810958 0.419110
0.694080 0.318017 -0.633943
0.337510 -0.887953 -0.010341
