Generations 50
Tau 0.070711
Epsilon0 0.000010
Lambda 150
Mu 50
BoxMin -1.000000
BoxMax 1.000000
EvaluationTime 0.3104
Fitness 0.254031
Sigma 0.068650
Points 200

Points (x,y,z):
0.458556 -0.372694 -0.882281
-0.977346 0.178117 -0.159462
0.296493 -0.153909 0.913868
-0.305924 0.760057 -0.447111
0.206122 -0.969290 -0.093642
0.429354 0.251197 0.245999
0.200438 -0.709996 -0.523166
0.017987 -0.757608 0.017710
0.135298 -0.219183 -0.243861
-0.624777 -0.167355 0.633961
0.581259 0.430161 0.855169
0.412407 -0.808827 0.758933
-0.044085 -0.969910 -0.317964
0.172453 0.917210 -0.179477
0.168490 -0.625644 0.433693
0.498103 0.206326 0.645328
-0.448397 0.330406 0.769481
0.423353 -0.403636 -0.881429
-0.258019 0.820462 0.153668
-0.975601 0.106729 -0.475260
0.376220 -0.052033 -0.526177
-0.713090 0.075012 0.634851
0.288156 -0.913401 0.119454
0.560367 -0.484860 0.706560
0.340744 -0.250401 -0.029952
0.470953 -0.982014 -0.339567
0.578697 -0.722737 0.255945
0.411770 -0.143619 -0.291177
-0.294810 -0.882671 -0.273490
0.406326 -0.749161 0.554358
-0.310573 -0.652152 0.898117
0.341250 -0.043704 0.979332
-0.251222 0.873986 -0.381517
-0.310927 -0.480635 -0.026845
0.905320 -0.472216 -0.716734
0.609237 0.130889 -0.380087
-0.798373 0.650849 0.000392
-0.395125 -0.636502 -0.512179
0.517723 0.612382 0.740947
-0.443320 0.339133 0.943697
-0.121466 0.555345 0.882253
0.660089 0.638124 0.498772
0.860771 -0.658178 0.102958
-0.560081 0.092414 0.880232
0.475223 0.509222 -0.820224
0.574779 -0.004124 -0.642060
-0.202754 -0.804513 -0.847940
0.751905 -0.071080 0.421412
0.867203 -0.612691 0.280504
0.978574 0.065969 -0.671223
0.829784 -0.564647 -0.650711
0.974025 -0.353941 -0.294516
0.635413 0.710143 0.183492
0.165530 -0.661225 0.128665
0.749769 0.625555 0.320670
0.550446 -0.235614 0.684497
-0.789002 -0.416217 0.345265
0.276803 0.331996 0.027662
-0.260692 0.847622 0.066111
0.567048 0.464609 0.357786
-0.027595 -0.644052 -0.171644
0.323520 0.080311 0.247648
0.558748 0.320592 0.721943
-0.273135 -0.472018 -0.674175
0.250451 -0.502231 0.811387
0.340806 0.707557 -0.331252
-0.809264 0.095701 -0.586280
0.969509 -0.453361 -0.098994
