Generations 750
Tau 0.070711
Epsilon0 0.000010
Lambda 150
Mu 50
BoxMin -1.000000
BoxMax 1.000000
EvaluationTime 3.7140
Fitness 0.970428
Sigma 0.009674
Points 200

Points (x,y,z):
0.333470 -0.753226 -0.496812
-0.829885 -0.000186 -0.286923
-0.516118 0.331889 0.681362
-0.533873 0.679512 -0.393477
-0.475738 -0.690413 0.433366
0.364878 0.700818 0.535656
0.351313 -0.672171 -0.570435
0.245534 -0.757267 0.452360
0.562514 -0.244581 0.729007
-0.793234 -0.218873 0.580251
0.622480 0.531132 0.453202
0.407535 -0.804902 0.377211
0.022752 -0.709581 -0.673083
-0.214562 0.909743 0.176641
0.431158 -0.632147 0.500351
0.576530 0.684708 -0.385280
-0.948146 0.056824 0.212486
0.367131 -0.338463 -0.817855
0.627883 -0.619119 -0.376188
-0.761850 -0.011726 -0.631737
0.375225 -0.658852 -0.519043
-0.821621 0.223501 0.530452
0.356500 -0.862408 -0.331012
0.516310 -0.643560 0.578688
0.812819 -0.337660 0.354253
0.502796 -0.574212 -0.616351
0.632260 -0.707096 0.099252
-0.845119 -0.030161 -0.437684
-0.683019 -0.031749 0.645361
0.361214 -0.569455 0.586331
-0.107880 -0.284997 0.884425
0.387452 -0.023969 0.889166
-0.292188 0.871666 -0.315970
-0.120571 -0.547857 0.834494
0.417561 -0.113988 -0.845668
0.824567 0.079178 -0.515082
-0.582898 0.644042 0.286496
0.066787 -0.909906 -0.240571
0.241294 0.538976 0.790115
0.468181 -0.360235 -0.838058
-0.141036 0.776722 0.416650
0.526371 0.775296 0.194319
0.379871 -0.897682 -0.272676
-0.456541 0.281987 0.756800
-0.022905 0.007267 -0.955614
0.853762 -0.079689 -0.382162
-0.093111 -0.772839 -0.506891
0.820595 -0.025459 0.415079
0.739528 -0.641970 0.307075
0.787319 0.008027 -0.459488
-0.261793 0.629006 -0.731083
0.953466 -0.239290 -0.151799
0.611026 0.662419 0.215910
0.448059 -0.580941 -0.546879
0.670318 0.593074 0.425391
0.859589 -0.331368 0.312007
-0.844414 -0.444077 0.254228
0.413276 0.643938 0.415108
-0.155132 0.964109 0.159696
0.840687 0.196821 0.460702
-0.270746 -0.935674 -0.263058
0.147225 -0.299279 0.423130
0.419791 -0.156009 0.839564
-0.517003 -0.478356 -0.558941
0.594456 -0.443076 -0.625952
0.314357 0.757360 -0.528714
-0.756569 -0.139473 -0.660331
0.884138 -0.322360 -0.036869
0.420606 0.765674 -0.188633
-0.822714 0.049167 -0.567309
-0.230000 0.818378 0.482371
-0.362999 0.527693 -0.600328
0.313303 0.756984 0.260353
-0.603216 0.135539 -0.766552
0.289344 -0.673613 -0.706783
0.413781 0.809144 0.329515
0.314847 0.532348 0.665292
-0.474091 0.165194 0.748095
0.012888 0.622212 0.662659
0.004060 0.923133 -0.255909
0.478855 -0.851281 -0.277469
0.542286 0.798275 -0.258264
0.158251 -0.798763 -0.459955
0.035655 0.367571 0.882790
0.526195 0.413691 -0.619075
0.037572 0.662539 0.718303
0.390817 0.626355 -0.476048
-0.793381 -0.568744 0.119076
0.312692 0.073848 -0.873626
0.477449 -0.102848 0.840386
0.843006 0.018877 -0.474720
0.140404 0.404371 0.909568
0.561927 0.359375 -0.740246
-0.888247 0.279935 0.196449
0.451122 -0.107756 0.736574
0.625311 -0.652879 0.380878
-0.483518 0.708640 0.488775
-0.287331 0.832342 0.216801
-0.221197 -0.692105 -0.651951
0.699519 -0.717289 -0.136827
-0.757305 -0.562606 0.169838
-0.361052 0.041750 -0.893679
0.814734 0.352863 0.355409
0.451944 0.606272 0.652047
-0.453455 0.124553 0.817648
-0.477639 -0.818989 -0.307452
-0.055273 -0.658577 -0.707901
-0.653901 0.339379 0.612916
0.087324 -0.825265 -0.464140
0.857896 0.039964 -0.465116
-0.393433 -0.901233 0.061447
-0.733865 -0.506312 -0.394635
0.735344 -0.642671 -0.074534
0.459995 -0.033308 -0.795673
-0.469121 0.542197 -0.641091
0.619994 0.691035 -0.249281
0.763862 0.478106 -0.184680
0.337221 0.676138 0.643819
-0.669741 -0.388788 -0.472884
-0.803293 0.050675 -0.599920
0.702897 -0.557474 0.290865
-0.851833 0.192632 -0.440583
-0.242448 0.827518 0.289444
0.461095 -0.721483 -0.509367
0.318439 -0.742972 0.469857
-0.358074 -0.176974 -0.912695
-0.116361 0.184378 0.974789
0.209020 -0.959564 0.090083
0.597645 -0.499123 -0.563686
-0.968880 0.038584 0.264834
-0.623020 -0.716531 -0.340465
-0.339930 0.681563 -0.635989
-0.825265 0.021133 -0.560339
-0.612841 -0.682876 -0.212981
-0.483134 0.751533 -0.369866
-0.248227 -0.597018 -0.607442
0.008205 -0.650872 -0.671566
0.386339 -0.788112 -0.184904
-0.072823 -0.864841 -0.266780
0.545509 0.710287 -0.356013
-0.202329 -0.928978 0.329332
0.533940 0.604835 0.508271
-0.357818 0.173440 0.818910
0.016666 -0.932018 -0.262254
-0.224500 0.939915 0.055557
-0.371205 0.574088 -0.638434
0.258032 0.855864 0.305033
-0.543060 -0.659002 0.306639
-0.718555 0.299715 -0.583475
-0.146953 0.905283 0.087147
-0.817214 0.150822 -0.454549
-0.001182 -0.792151 -0.548821
0.388465 0.423893 -0.791379
-0.858520 0.103525 -0.551428
-0.387976 0.155773 0.894152
-0.524314 0.629166 0.518082
0.197359 -0.816789 0.529610
0.432408 0.876961 -0.064740
0.629900 0.736089 -0.200685
-0.169151 0.261702 -0.408693
-0.515385 0.720905 0.420293
0.608425 0.600021 0.456818
-0.931361 -0.368965 0.227440
0.560665 0.715596 0.268441
0.144693 -0.139511 0.850827
0.343477 -0.883921 -0.340873
-0.242492 0.800234 -0.518438
-0.954784 0.036848 0.220887
0.891333 0.321291 0.104570
-0.731467 -0.461937 -0.487053
-0.492187 -0.581910 -0.527542
-0.488943 0.658716 0.540676
0.305373 0.339761 -0.884488
0.773610 -0.315559 0.483778
-0.625147 -0.602173 0.223469
-0.466966 0.629041 0.476677
-0.288851 -0.936052 -0.294450
0.582238 0.790094 -0.188684
0.416043 -0.626036 0.663107
0.601075 0.684652 -0.231756
-0.005128 -0.808421 0.407771
-0.728274 0.589629 0.214046
0.444886 -0.760313 -0.434448
-0.441720 0.450834 0.219853
0.496884 -0.101877 0.833676
0.332836 0.449242 -0.828581
0.770442 -0.154226 0.538745
-0.470173 -0.716646 -0.359455
-0.443128 -0.730931 -0.519368
0.681328 -0.329328 0.413215
-0.444677 0.788239 0.278619
-0.736543 -0.448234 -0.331089
0.885616 -0.135507 -0.307805
-0.804753 -0.558563 0.038073
-0.449040 -0.823460 -0.030258
0.003355 -0.709223 -0.601429
0.414725 -0.047088 -0.903277
-0.341891 0.754240 -0.505291
-0.643299 -0.566311 0.382348
-0.820276 -0.198667 0.546344
