test_number,evaluation_time_seconds,cores_used
1,0.083723,15
2,0.090578,15
3,0.088662,15
4,0.085086,15
5,0.084545,15
6,0.087032,15
7,0.088436,15
8,0.086649,15
9,0.086637,15
10,0.085819,15
11,0.087599,15
12,0.086243,15
13,0.090358,15
14,0.085810,15
15,0.090258,15
16,0.089679,15
17,0.087878,15
18,0.087232,15
19,0.087579,15
20,0.086096,15
21,0.086585,15
22,0.087637,15
23,0.090127,15
24,0.086651,15
25,0.091836,15
26,0.085948,15
27,0.086707,15
28,0.089365,15
29,0.086983,15
30,0.087962,15
31,0.085787,15
32,0.087117,15
33,0.086200,15
34,0.087861,15
35,0.090391,15
36,0.088370,15
37,0.086491,15
38,0.084814,15
39,0.088058,15
40,0.086262,15
41,0.086838,15
42,0.087040,15
43,0.089127,15
44,0.086556,15
45,0.087303,15
46,0.089667,15
47,0.090385,15
48,0.086658,15
49,0.092280,15
50,0.088156,15
51,0.086357,15
52,0.089519,15
53,0.086553,15
54,0.085312,15
55,0.086285,15
56,0.088866,15
57,0.086246,15
58,0.085946,15
59,0.085569,15
60,0.085970,15
61,0.085582,15
62,0.087238,15
63,0.088284,15
64,0.086351,15
65,0.090106,15
66,0.088552,15
67,0.089575,15
68,0.087407,15
69,0.091982,15
70,0.087246,15
71,0.085538,15
72,0.087609,15
73,0.088572,15
74,0.090444,15
75,0.086815,15
76,0.086462,15
77,0.086987,15
78,0.086769,15
79,0.086559,15
80,0.087634,15
81,0.086974,15
82,0.088582,15
83,0.088244,15
84,0.087625,15
85,0.085563,15
86,0.089023,15
87,0.088405,15
88,0.088074,15
89,0.083906,15
90,0.090433,15
91,0.086901,15
92,0.088669,15
93,0.086541,15
94,0.086475,15
95,0.086449,15
96,0.086630,15
97,0.087098,15
98,0.090299,15
99,0.087401,15
100,0.087647,15
