Generations 0
Tau 0.070711
Epsilon0 0.000010
Lambda 150
Mu 50
BoxMin -1.000000
BoxMax 1.000000
EvaluationTime 0.0053
Fitness 0.085386
Sigma 0.157145
Points 200

Points (x,y,z):
-0.128505 -0.672477 -0.738248
0.293959 0.187892 0.845552
-0.753276 0.118347 -0.529358
-0.868106 0.690021 0.206743
-0.502054 -0.946270 -0.120615
0.272367 -0.004398 0.138880
0.716356 0.626739 -0.619477
0.368763 0.901108 -0.435853
0.255840 -0.508609 -0.693227
-0.606035 0.354161 0.271817
0.181552 -0.774344 0.599339
0.443304 0.519615 -0.212769
0.288855 0.766339 0.905578
0.759497 0.898233 0.595599
-0.033760 -0.603821 0.649329
0.845625 0.668546 -0.355069
-0.015495 0.384902 -0.728330
0.365028 -0.246336 -0.827223
0.929175 -0.990495 -0.335832
-0.764052 -0.596530 -0.981670
0.507765 0.585022 -0.756015
0.107104 0.028326 0.763600
0.894335 -0.682819 0.529939
0.799913 -0.923321 0.428172
0.395512 0.042919 0.824351
0.044841 -0.111456 0.492897
0.689772 0.873049 -0.122202
0.961442 0.238077 0.631463
-0.865780 0.167252 0.640967
-0.201612 0.403200 -0.955563
-0.183282 -0.089035 0.629460
0.060703 -0.981931 -0.342215
-0.175696 0.912404 -0.025033
-0.645757 0.712317 0.051646
0.782415 0.107829 -0.905436
0.606765 -0.847330 -0.016892
0.099662 0.842443 -0.143842
0.977460 0.803885 -0.905765
0.608923 0.938105 0.261487
0.249890 -0.263507 -0.335313
0.294328 0.553210 0.575651
-0.076213 -0.386087 0.593720
0.581573 0.438217 0.506124
-0.443460 0.792460 0.218440
0.608185 0.574874 -0.673731
0.702750 0.181640 -0.521060
-0.314142 -0.718698 -0.678617
0.542016 -0.741238 -0.874732
0.636250 0.867685 -0.936628
-0.102263 0.117575 -0.200135
0.562424 -0.588097 -0.646925
0.138075 0.335690 -0.033012
-0.268205 -0.082737 -0.594795
-0.762082 0.473802 -0.802335
0.456359 0.081987 0.772539
0.782628 -0.215263 -0.045821
-0.738432 0.470595 0.235480
-0.417050 0.012610 0.494242
-0.291782 -0.351139 0.361927
-0.228410 0.546597 -0.520498
0.571455 0.109021 -0.108596
0.924530 -0.752904 -0.772906
-0.108481 -0.021109 0.144356
0.296724 0.216809 -0.381841
0.494389 -0.326832 0.700146
0.266928 -0.544204 -0.515117
-0.778893 -0.282637 0.955477
0.456587 0.300314 -0.031912
-0.049171 -0.991468 0.616948
-0.687244 -0.219878 0.163546
-0.207743 -0.648422 -0.727433
0.683661 -0.723892 -0.480337
0.910755 0.167627 0.498554
0.055111 -0.535649 -0.284637
0.673270 0.958740 0.388531
0.373416 0.225668 0.844327
0.858298 0.446775 -0.438310
0.813776 -0.096638 0.862004
-0.218137 0.854191 0.870536
-0.601189 -0.833054 -0.349342
0.562357 -0.040797 0.002236
0.834924 -0.357135 0.278344
-0.645413 -0.446380 -0.554029
0.853141 0.608731 -0.089678
-0.431496 0.282001 -0.130938
0.957034 -0.344583 -0.905270
0.801361 -0.486285 0.541505
-0.636949 -0.672509 -0.555133
-0.774945 0.109354 -0.700943
-0.904410 0.508166 -0.533996
-0.253752 0.070523 0.425207
0.748484 -0.094553 -0.931928
0.026829 0.260033 -0.378308
0.472800 0.113174 -0.769577
-0.616878 0.681677 0.512424
0.252184 0.638712 -0.832159
0.346915 0.440072 -0.318443
-0.111580 0.803123 0.009048
0.333287 -0.971822 -0.881598
0.632344 -0.876232 0.626568
-0.901652 -0.129983 -0.302909
0.523555 -0.381499 0.602537
0.591627 0.645330 -0.137430
-0.786681 0.118130 0.975744
-0.556258 0.501252 0.657421
0.956166 -0.246564 0.296133
-0.875993 -0.899649 -0.263794
-0.194436 -0.011229 -0.460671
0.814612 -0.677943 -0.432493
0.933014 0.954401 -0.308725
0.559582 -0.947251 0.561291
-0.743328 0.576304 -0.820208
0.859209 0.167931 0.825122
-0.278220 0.381250 -0.056748
-0.302476 0.824992 -0.555497
-0.645055 0.781158 0.197939
0.651079 0.905166 0.298290
-0.612716 -0.289270 -0.712939
-0.073387 -0.474659 -0.390881
0.494119 -0.541645 -0.436480
-0.814606 -0.982063 -0.383731
0.746685 -0.725391 -0.807426
0.926478 -0.866182 0.360505
0.751600 -0.144402 -0.258245
-0.305149 0.553122 -0.433253
0.139354 0.908067 -0.652095
-0.662706 0.559146 -0.746929
0.635584 0.946430 -0.036200
0.922646 -0.126957 0.489141
-0.468236 -0.632838 0.947497
0.095285 -0.447444 0.965433
0.711554 -0.700758 -0.759958
0.904127 -0.774281 -0.626139
0.264632 0.977319 0.229459
-0.993613 -0.327830 -0.217419
-0.426866 0.811525 -0.309352
-0.078961 -0.851181 -0.750206
0.174110 0.784403 -0.803776
-0.862090 0.707049 0.069267
0.627052 -0.761187 0.436429
0.574548 0.334098 0.988986
0.539982 0.045651 -0.711773
0.780024 -0.050221 -0.486054
-0.846116 -0.785589 -0.508735
0.383343 -0.779202 0.163435
-0.834076 -0.206068 -0.025040
-0.143429 0.714971 0.123779
0.106365 -0.110919 -0.091819
0.302589 0.026991 -0.384770
-0.628144 -0.345957 -0.145957
0.808286 -0.771409 -0.811859
0.797271 0.768573 0.233793
-0.914501 0.548597 -0.816429
-0.400555 0.702481 -0.602018
0.090710 0.085824 -0.381220
-0.745854 0.251747 0.412713
0.229106 -0.891681 0.127684
-0.647116 0.214684 -0.983235
0.261066 -0.482726 0.043757
0.876296 -0.110870 0.697800
-0.269660 -0.302584 0.926391
-0.081519 -0.505313 0.694964
-0.847727 -0.419814 0.243560
-0.664155 0.179631 -0.053959
-0.266173 -0.729659 -0.968135
0.352608 -0.475513 0.283612
-0.234680 0.753593 0.391931
