test_number,evaluation_time_seconds,cores_used
1,0.245541,7
2,0.234703,7
3,0.226930,7
4,0.220856,7
5,0.217356,7
6,0.223561,7
7,0.227549,7
8,0.222920,7
9,0.222071,7
10,0.219555,7
11,0.222911,7
12,0.219940,7
13,0.232782,7
14,0.221382,7
15,0.233937,7
16,0.231851,7
17,0.226104,7
18,0.222569,7
19,0.225447,7
20,0.221162,7
21,0.221362,7
22,0.224414,7
23,0.230851,7
24,0.220930,7
25,0.235411,7
26,0.216187,7
27,0.220580,7
28,0.228373,7
29,0.223642,7
30,0.225442,7
31,0.219234,7
32,0.222859,7
33,0.221192,7
34,0.226223,7
35,0.232969,7
36,0.227995,7
37,0.222429,7
38,0.217270,7
39,0.224738,7
40,0.219323,7
41,0.221837,7
42,0.222109,7
43,0.228182,7
44,0.220996,7
45,0.223123,7
46,0.230074,7
47,0.231510,7
48,0.222817,7
49,0.223898,7
50,0.225516,7
51,0.218634,7
52,0.228376,7
53,0.221333,7
54,0.219122,7
55,0.222424,7
56,0.230883,7
57,0.220258,7
58,0.219033,7
59,0.219520,7
60,0.218575,7
61,0.218088,7
62,0.223409,7
63,0.223763,7
64,0.218473,7
65,0.228481,7
66,0.225048,7
67,0.227903,7
68,0.221197,7
69,0.233870,7
70,0.221508,7
71,0.216608,7
72,0.222051,7
73,0.225834,7
74,0.232235,7
75,0.221269,7
76,0.220484,7
77,0.220911,7
78,0.219826,7
79,0.218219,7
80,0.222449,7
81,0.220710,7
82,0.224762,7
83,0.223895,7
84,0.223250,7
85,0.216298,7
86,0.225283,7
87,0.224892,7
88,0.225397,7
89,0.213802,7
90,0.231733,7
91,0.224648,7
92,0.227362,7
93,0.219127,7
94,0.219315,7
95,0.219108,7
96,0.218719,7
97,0.221398,7
98,0.230757,7
99,0.222494,7
100,0.223047,7
