test_number,evaluation_time_seconds,cores_used
1,0.356038,3
2,0.389571,3
3,0.375976,3
4,0.364010,3
5,0.356299,3
6,0.368485,3
7,0.374251,3
8,0.366754,3
9,0.365163,3
10,0.361325,3
11,0.368161,3
12,0.362604,3
13,0.382954,3
14,0.364269,3
15,0.384936,3
16,0.381122,3
17,0.370645,3
18,0.365362,3
19,0.367149,3
20,0.361232,3
21,0.362836,3
22,0.369970,3
23,0.379660,3
24,0.363627,3
25,0.387367,3
26,0.356263,3
27,0.363710,3
28,0.376504,3
29,0.368695,3
30,0.371761,3
31,0.361069,3
32,0.367236,3
33,0.364589,3
34,0.372406,3
35,0.383413,3
36,0.375634,3
37,0.365978,3
38,0.358475,3
39,0.372343,3
40,0.363844,3
41,0.367142,3
42,0.367150,3
43,0.377895,3
44,0.366249,3
45,0.369748,3
46,0.379908,3
47,0.382968,3
48,0.366542,3
49,0.369387,3
50,0.373173,3
51,0.361252,3
52,0.377489,3
53,0.365591,3
54,0.360519,3
55,0.364444,3
56,0.376030,3
57,0.364546,3
58,0.362756,3
59,0.362393,3
60,0.362963,3
61,0.362480,3
62,0.370607,3
63,0.371714,3
64,0.362047,3
65,0.379094,3
66,0.372512,3
67,0.377829,3
68,0.367894,3
69,0.389270,3
70,0.368192,3
71,0.359695,3
72,0.369259,3
73,0.375476,3
74,0.384268,3
75,0.368224,3
76,0.366026,3
77,0.366858,3
78,0.365673,3
79,0.363124,3
80,0.369192,3
81,0.367229,3
82,0.374590,3
83,0.372425,3
84,0.370540,3
85,0.359541,3
86,0.375017,3
87,0.373836,3
88,0.374514,3
89,0.354819,3
90,0.385133,3
91,0.366908,3
92,0.374961,3
93,0.363825,3
94,0.364082,3
95,0.363431,3
96,0.363363,3
97,0.367617,3
98,0.382963,3
99,0.368895,3
100,0.370173,3
