test_number,evaluation_time_seconds,cores_used
1,0.566398,16
2,0.615539,16
3,0.596656,16
4,0.579446,16
5,0.571116,16
6,0.589744,16
7,0.596246,16
8,0.583556,16
9,0.581256,16
10,0.571849,16
11,0.583926,16
12,0.573597,16
13,0.607965,16
14,0.576225,16
15,0.609619,16
16,0.603401,16
17,0.586313,16
18,0.578552,16
19,0.579993,16
20,0.570869,16
21,0.570470,16
22,0.583093,16
23,0.599228,16
24,0.573575,16
25,0.610146,16
26,0.560370,16
27,0.572713,16
28,0.592240,16
29,0.580199,16
30,0.586226,16
31,0.572569,16
32,0.580223,16
33,0.575225,16
34,0.590048,16
35,0.607582,16
36,0.593949,16
37,0.576698,16
38,0.565091,16
39,0.587256,16
40,0.574046,16
41,0.580592,16
42,0.581553,16
43,0.599450,16
44,0.580821,16
45,0.586133,16
46,0.602848,16
47,0.607976,16
48,0.581594,16
49,0.585285,16
50,0.591555,16
51,0.573669,16
52,0.598885,16
53,0.580089,16
54,0.571846,16
55,0.577917,16
56,0.596315,16
57,0.578081,16
58,0.575497,16
59,0.575124,16
60,0.575881,16
61,0.574731,16
62,0.587702,16
63,0.589715,16
64,0.573590,16
65,0.602245,16
66,0.589551,16
67,0.599311,16
68,0.583133,16
69,0.617288,16
70,0.584656,16
71,0.570889,16
72,0.584378,16
73,0.591418,16
74,0.606339,16
75,0.579011,16
76,0.576067,16
77,0.577596,16
78,0.576188,16
79,0.571992,16
80,0.582928,16
81,0.578346,16
82,0.589562,16
83,0.587628,16
84,0.586120,16
85,0.568420,16
86,0.590630,16
87,0.589572,16
88,0.591175,16
89,0.559205,16
90,0.606941,16
91,0.578384,16
92,0.591343,16
93,0.572708,16
94,0.572562,16
95,0.572084,16
96,0.572914,16
97,0.579693,16
98,0.604549,16
99,0.582072,16
100,0.584102,16
