Generations 850
Tau 0.070711
Epsilon0 0.000010
Lambda 150
Mu 50
BoxMin -1.000000
BoxMax 1.000000
EvaluationTime 4.0010
Fitness 0.990034
Sigma 0.013900
Points 200

Points (x,y,z):
0.746715 0.632718 0.222424
-0.927064 0.113890 0.320801
-0.621865 0.480012 0.544199
-0.672192 -0.598107 -0.223353
-0.599572 -0.664358 -0.303440
-0.008761 -0.850350 -0.328529
-0.231919 0.535627 0.677469
0.886555 0.295769 -0.076079
0.223082 -0.949252 0.147458
0.776943 -0.509005 0.425179
-0.500509 0.518931 0.604624
-0.649721 0.472184 0.441117
-0.140692 0.868519 -0.252380
-0.386096 -0.585500 0.699306
-0.849506 -0.484242 0.059502
0.165560 0.373503 0.897284
-0.845447 0.159073 0.183377
-0.171743 0.718472 -0.528228
0.628533 -0.263734 0.682830
0.349493 -0.581061 -0.640312
0.431632 -0.758845 -0.100682
-0.172243 -0.012032 0.855058
-0.921700 -0.341963 -0.184156
0.684302 0.423111 -0.530051
-0.811542 0.035058 0.331797
-0.687714 0.168284 0.758876
-0.923790 0.220016 0.261248
0.565361 0.119067 -0.708778
-0.449309 0.202538 0.781441
-0.540831 -0.390301 0.720074
-0.458945 -0.723909 -0.326592
0.498965 0.030008 -0.782494
0.602216 0.748118 0.091487
0.229656 0.968050 0.230584
0.873931 -0.422628 -0.075730
0.718781 0.040487 -0.613886
0.855424 -0.518775 0.213001
-0.552489 0.051951 0.856769
0.784271 -0.442782 0.300296
-0.759186 0.145961 -0.560399
-0.180103 0.729225 -0.403949
-0.430740 0.667394 0.417661
0.828714 -0.240785 -0.012171
-0.581887 0.768403 0.123730
-0.482844 0.547980 -0.501377
-0.044806 -0.071249 -0.958311
-0.703580 -0.277993 -0.588182
0.318709 0.872389 0.344282
0.078674 0.570773 0.765001
-0.373459 -0.762592 0.446290
-0.357809 0.051372 0.882089
-0.941626 0.161369 0.360907
0.513497 0.711131 0.445793
0.774084 0.509428 0.127037
0.030864 -0.806802 -0.180081
0.057560 -0.949451 -0.173866
-0.562443 -0.498161 -0.454965
-0.452937 0.486041 0.633483
-0.785601 -0.398931 0.365008
0.644762 0.734104 0.278637
-0.261756 -0.122249 0.943540
0.288307 -0.359422 -0.820662
-0.885812 -0.104475 -0.208880
-0.382441 0.554387 -0.675350
-0.351233 0.111555 0.827617
0.584108 0.689847 0.428954
0.679684 0.520653 0.174974
-0.801104 -0.418808 0.069819
-0.725471 -0.041561 -0.615705
-0.646855 0.074570 -0.721018
-0.424052 0.840873 0.302814
-0.412380 -0.855135 -0.111112
-0.385122 -0.607940 0.678433
-0.171236 0.435953 -0.801039
-0.404326 0.858985 0.280780
0.397988 0.600882 0.465264
0.688983 0.236924 -0.481212
-0.054462 0.991987 0.018439
-0.677804 0.133657 -0.669894
0.117428 0.893152 -0.185988
0.781788 0.398431 0.122318
0.580789 -0.374682 0.592013
-0.571027 -0.411394 -0.652409
-0.834677 -0.046484 0.327063
0.333345 -0.735014 -0.575506
-0.007769 -0.545183 -0.708665
0.095118 0.833334 -0.349102
0.853721 0.112969 -0.405610
0.008078 -0.790967 -0.243592
0.582500 -0.679684 0.204129
-0.840512 0.192678 0.460102
0.533548 0.736732 -0.310985
0.852880 -0.111941 0.534559
0.799993 0.246501 0.543329
-0.892993 -0.156792 0.207151
0.773457 -0.040536 0.565901
-0.182563 -0.346994 -0.854070
-0.149339 0.086244 0.929655
-0.157598 0.704064 0.549552
0.793821 0.340815 -0.039900
0.248630 -0.849680 0.112397
-0.532776 0.371035 0.634235
-0.358075 0.304956 0.801931
-0.595284 0.797507 0.070166
0.924632 0.272874 -0.021302
0.851095 0.031969 0.352005
-0.445109 -0.686285 -0.474546
-0.438542 0.668695 0.530004
0.842256 -0.131417 0.426148
-0.688849 -0.360164 0.665839
0.186469 0.010379 -0.888885
-0.228254 0.054602 -0.912318
-0.217576 0.690145 -0.435437
-0.054453 0.527955 0.757100
-0.634690 -0.272060 0.674343
0.369052 0.339182 -0.695037
0.929070 -0.178993 -0.196619
-0.354500 -0.746297 -0.323366
0.565513 -0.373399 -0.461209
0.287757 -0.488242 0.776954
-0.714457 -0.466525 0.205084
-0.350750 -0.607221 -0.521471
-0.204852 -0.487714 -0.771915
0.782381 -0.188716 0.127804
0.343797 0.792409 0.410873
-0.261492 0.367410 0.770537
-0.194067 -0.582239 0.830230
0.430086 -0.115559 0.871397
0.216120 0.624336 0.705459
-0.374817 -0.326324 0.940742
-0.070834 -0.643347 -0.594388
0.186535 0.506800 0.775815
0.093919 0.903195 0.299119
0.594932 0.681773 -0.301508
-0.821720 -0.520134 0.209415
0.828767 -0.426276 0.411736
-0.268221 -0.846956 0.224158
0.285707 0.808709 0.392390
0.291149 -0.926371 0.371183
-0.546216 0.039790 -0.766100
-0.477845 -0.695597 -0.463452
-0.218587 0.771081 0.444859
0.135903 0.815750 0.193028
-0.199215 0.012174 -0.928412
0.205711 -0.984052 0.012200
-0.726411 -0.472260 0.458366
-0.109031 0.489391 -0.833170
0.894090 -0.116234 -0.192954
0.526457 -0.778003 0.010145
0.844969 0.101520 -0.366320
0.061468 -0.870387 -0.393894
0.527956 0.723375 0.466252
0.547133 -0.640067 0.005618
-0.461003 0.122400 0.912323
0.754504 0.534147 0.158392
0.551350 -0.003830 -0.729902
-0.312193 -0.881215 -0.188789
-0.723530 -0.235215 0.685785
0.897804 0.256061 -0.234879
0.785031 -0.395818 0.163423
-0.706200 0.201025 0.490139
0.442437 -0.415433 -0.592850
-0.571374 0.790500 0.187972
0.188219 -0.178443 0.878958
0.016208 -0.757019 0.444860
0.357772 0.741236 0.551081
0.731553 -0.293639 0.645267
-0.751107 -0.425827 -0.128967
0.355786 0.556589 0.757039
0.002775 -0.855593 0.468827
0.719276 -0.675871 0.070324
0.672318 -0.620412 0.261299
0.700533 -0.369222 -0.470535
-0.205225 -0.696472 -0.462623
0.118988 0.904009 -0.330903
-0.094089 0.887876 0.344515
-0.385914 -0.897196 0.140076
0.193410 -0.475256 0.804041
-0.607184 0.318684 0.674527
-0.091760 -0.312551 0.123056
-0.040218 0.453587 0.891913
-0.434996 0.711648 0.183194
0.647090 0.322940 -0.596129
