test_number,evaluation_time_seconds,cores_used
1,0.377180,11
2,0.410113,11
3,0.395347,11
4,0.384079,11
5,0.378414,11
6,0.390767,11
7,0.396943,11
8,0.388987,11
9,0.386955,11
10,0.383014,11
11,0.389010,11
12,0.383748,11
13,0.405669,11
14,0.385125,11
15,0.407845,11
16,0.403324,11
17,0.392049,11
18,0.387151,11
19,0.388648,11
20,0.382155,11
21,0.382293,11
22,0.389826,11
23,0.400641,11
24,0.385001,11
25,0.409160,11
26,0.375743,11
27,0.384065,11
28,0.397066,11
29,0.389307,11
30,0.391813,11
31,0.380361,11
32,0.386620,11
33,0.384745,11
34,0.392530,11
35,0.403953,11
36,0.396545,11
37,0.386308,11
38,0.377957,11
39,0.392842,11
40,0.384123,11
41,0.387437,11
42,0.387447,11
43,0.398693,11
44,0.386530,11
45,0.389936,11
46,0.401102,11
47,0.403850,11
48,0.386785,11
49,0.389764,11
50,0.393198,11
51,0.381508,11
52,0.398306,11
53,0.386300,11
54,0.380618,11
55,0.384387,11
56,0.396739,11
57,0.384028,11
58,0.382452,11
59,0.382831,11
60,0.382771,11
61,0.381905,11
62,0.391288,11
63,0.391764,11
64,0.381635,11
65,0.400094,11
66,0.392979,11
67,0.398152,11
68,0.387098,11
69,0.409667,11
70,0.386335,11
71,0.377915,11
72,0.387772,11
73,0.395082,11
74,0.404178,11
75,0.386087,11
76,0.383750,11
77,0.385185,11
78,0.383718,11
79,0.381730,11
80,0.388310,11
81,0.385814,11
82,0.392962,11
83,0.391592,11
84,0.389411,11
85,0.377607,11
86,0.394398,11
87,0.392823,11
88,0.393527,11
89,0.372346,11
90,0.404645,11
91,0.385290,11
92,0.394251,11
93,0.382241,11
94,0.382869,11
95,0.382101,11
96,0.382000,11
97,0.386093,11
98,0.402652,11
99,0.387810,11
100,0.388815,11
