Generations 450
Tau 0.070711
Epsilon0 0.000010
Lambda 150
Mu 50
BoxMin -1.000000
BoxMax 1.000000
EvaluationTime 2.1842
Fitness 0.779844
Sigma 0.035550
Points 200

Points (x,y,z):
0.849390 0.483882 0.380806
-0.875125 0.056252 0.372796
-0.548671 0.671181 0.223097
-0.593643 -0.611887 0.018383
-0.727324 -0.687610 -0.289705
-0.051265 -0.773249 -0.438661
0.115215 0.363943 0.967811
0.893564 0.248333 -0.214295
0.024673 -0.886906 0.240664
0.513486 -0.550728 0.679691
-0.636511 0.582220 0.629523
-0.680716 0.447211 0.444852
0.073292 0.933277 -0.290163
-0.340459 -0.474706 0.758731
-0.853741 -0.643533 0.050181
0.114935 0.285989 0.804905
-0.842685 0.077779 0.116685
-0.363640 0.784077 -0.639880
0.666836 -0.290153 0.783452
0.297796 -0.560173 -0.626655
0.172693 -0.719362 -0.485745
-0.430189 0.204663 0.961912
-0.894795 -0.351652 -0.173949
0.656231 0.258430 -0.545875
-0.817835 0.043249 0.257452
-0.721483 0.313886 0.567660
-0.937311 0.141748 0.153511
0.705456 0.168882 -0.779118
-0.525908 -0.236341 0.865265
-0.497844 -0.335981 0.640127
-0.484630 -0.704238 -0.531901
0.267497 -0.371743 -0.938876
0.529535 0.584631 0.243207
0.257983 0.931510 0.409582
0.908887 -0.336095 -0.010406
0.793562 -0.021604 -0.602143
0.927795 -0.347400 0.319517
-0.423438 0.076256 0.747798
0.767823 -0.514009 0.384660
-0.772011 -0.099122 -0.762404
-0.062984 0.729912 -0.521879
-0.380203 0.720323 0.591532
0.978058 -0.242225 0.030238
-0.785702 0.645456 0.083449
-0.811168 -0.351906 0.488244
-0.087338 -0.006264 -0.819751
-0.879521 -0.238994 -0.655587
0.357941 0.782025 0.391258
-0.060728 0.523796 0.945965
-0.521672 -0.714821 0.434138
-0.423432 0.011424 0.994803
-0.894082 0.247023 0.294185
0.684162 0.631937 0.504126
0.677977 0.649874 0.125079
0.023459 -0.819589 -0.264004
0.225566 -0.959371 -0.393306
-0.651388 -0.512004 -0.539845
-0.527668 0.397092 0.608008
-0.714012 -0.538202 0.245253
0.357355 0.862461 0.364576
-0.218720 -0.115807 0.987097
0.484703 -0.275766 -0.904303
-0.963528 0.042740 -0.359278
-0.585871 0.655132 -0.517625
-0.103573 0.331120 0.951083
0.482275 0.607011 0.423422
0.660998 0.596003 0.291357
-0.805027 -0.503318 0.129998
-0.766371 -0.058906 -0.656966
-0.692066 -0.009830 -0.849111
-0.292507 0.852911 0.324289
-0.500210 -0.855320 -0.454655
-0.226109 -0.607294 0.796825
-0.192658 0.730183 -0.738599
-0.488953 0.821123 0.481613
0.432396 0.584345 0.460805
0.753888 0.232416 -0.618190
-0.051899 0.960574 0.110556
-0.702463 0.113411 -0.529856
0.046628 0.909067 -0.284767
0.838536 0.429394 0.108840
0.349021 0.768870 0.487458
-0.917126 -0.138673 -0.471097
-0.853063 0.162745 0.206176
0.475835 -0.619041 -0.520512
-0.124604 -0.793525 -0.668917
0.188577 0.772205 -0.403367
0.811480 0.304062 -0.668116
-0.271241 -0.840131 -0.368835
0.774193 -0.648501 0.050761
-0.943385 0.138234 0.361933
0.664975 0.706096 -0.361523
0.819308 0.290314 0.471104
0.691989 0.241191 0.429885
-0.854487 -0.085143 0.261881
0.672755 -0.216412 0.534666
-0.245035 -0.269349 -0.866826
-0.133729 0.090576 0.873445
-0.163425 0.722145 0.407284
0.936048 0.522229 -0.114271
0.174897 -0.925121 0.137652
-0.579519 0.358454 0.735812
-0.361571 0.511260 0.904475
-0.476410 0.871595 0.210648
0.928291 0.204273 -0.080511
0.794150 -0.018824 0.368605
-0.729621 -0.630202 -0.191395
-0.333277 0.604208 0.442903
0.843887 -0.099430 0.433090
-0.488021 -0.597378 0.729670
0.115844 -0.038464 -0.861580
-0.884341 0.082747 -0.417636
-0.315591 0.653055 -0.578712
-0.295488 0.365201 0.754745
-0.777070 -0.566626 0.481192
0.272238 0.166028 -0.970307
0.993755 -0.361390 -0.236823
-0.609251 -0.778948 -0.382948
0.526155 -0.341884 -0.548162
0.200498 -0.539924 0.703497
-0.762683 -0.467710 0.356818
-0.204173 -0.693709 -0.500429
-0.337737 -0.606288 -0.844484
0.838132 -0.279718 0.162055
0.310116 0.722761 0.478024
-0.302104 0.503455 0.823569
-0.197866 -0.637997 0.780675
0.348946 -0.119056 0.855361
0.087278 0.573045 0.823030
-0.302380 -0.529087 0.865797
-0.057787 -0.771055 -0.437814
0.283367 0.455486 0.864440
0.246191 0.947188 0.221623
0.605884 0.790679 -0.339019
-0.924029 -0.295438 0.276796
0.360464 -0.611262 0.505616
-0.363013 -0.814827 0.190016
0.203502 0.981954 0.343117
0.336789 -0.864359 0.416029
-0.550573 0.040839 -0.763683
-0.741258 -0.423449 -0.529661
-0.175618 0.820093 0.444892
0.130414 0.945399 0.408037
-0.255393 -0.339592 -0.878861
0.260716 -0.899427 -0.352854
-0.719073 -0.346632 0.371626
-0.163076 0.609395 -0.626404
0.930338 -0.299871 -0.294066
0.525135 -0.639078 -0.222368
0.960265 0.009871 -0.268896
0.184183 -0.956223 -0.231513
0.560050 0.641314 0.382578
0.497209 -0.801085 -0.006253
-0.339130 0.247206 0.884705
0.728426 0.597254 0.124187
0.390540 -0.446994 -0.817188
-0.409264 -0.791208 -0.187015
-0.752761 -0.138403 0.683034
0.974096 0.333282 -0.251113
0.752797 -0.496328 0.344635
-0.755727 0.189717 0.417187
0.529845 -0.569595 -0.499127
-0.579439 0.824107 0.283100
0.283480 -0.157803 0.965963
-0.571930 -0.373334 0.749759
0.255652 0.791001 0.409824
0.960348 -0.229864 0.200324
-0.828691 -0.610808 -0.075989
0.400200 0.658718 0.598968
0.016454 -0.843305 0.440819
0.716454 -0.616342 0.146625
0.660650 -0.684139 0.325346
0.559681 -0.491620 -0.508631
-0.402223 -0.651312 -0.498413
0.166332 0.982024 -0.359508
-0.033295 0.794592 0.461188
-0.645785 -0.763887 0.274450
-0.357238 -0.544150 0.883907
-0.598804 0.324758 0.690922
-0.102177 -0.375293 0.248324
-0.191091 0.398925 0.854017
-0.191967 0.872699 0.312945
0.708349 0.225806 -0.565795
0.324548 -0.889624 -0.115372
-0.390005 -0.818289 0.110253
-0.457446 -0.582107 0.719824
-0.493822 -0.762723 -0.187359
0.363301 -0.651240 -0.741896
-0.855584 0.169416 -0.603723
-0.348143 0.569512 0.826075
-0.678423 -0.677048 0.123333
0.365041 0.890742 -0.089939
0.060546 -0.734809 -0.796983
-0.106621 0.608263 0.576347
0.945055 0.342990 0.129938
-0.196264 -0.533481 -0.780310
-0.884812 -0.158731 -0.594259
-0.549859 0.252634 0.821766
-0.023720 0.054251 -0.831250
-0.629137 -0.876638 -0.193598
