test_number,evaluation_time_seconds,cores_used
1,0.316434,4
2,0.351875,4
3,0.339098,4
4,0.328854,4
5,0.323756,4
6,0.334373,4
7,0.339488,4
8,0.332382,4
9,0.330376,4
10,0.324426,4
11,0.329056,4
12,0.324291,4
13,0.342949,4
14,0.325378,4
15,0.343936,4
16,0.340525,4
17,0.330785,4
18,0.326418,4
19,0.327655,4
20,0.323205,4
21,0.322938,4
22,0.329816,4
23,0.339692,4
24,0.324013,4
25,0.345198,4
26,0.317358,4
27,0.323764,4
28,0.334991,4
29,0.328788,4
30,0.330850,4
31,0.321966,4
32,0.326999,4
33,0.324787,4
34,0.331884,4
35,0.341479,4
36,0.335113,4
37,0.327219,4
38,0.320208,4
39,0.332374,4
40,0.324782,4
41,0.327855,4
42,0.327949,4
43,0.337406,4
44,0.327489,4
45,0.329958,4
46,0.340264,4
47,0.342834,4
48,0.328469,4
49,0.331083,4
50,0.332911,4
51,0.323594,4
52,0.337234,4
53,0.325887,4
54,0.321655,4
55,0.325416,4
56,0.335538,4
57,0.325286,4
58,0.323771,4
59,0.323351,4
60,0.323859,4
61,0.324232,4
62,0.331395,4
63,0.331783,4
64,0.322361,4
65,0.337864,4
66,0.331851,4
67,0.336691,4
68,0.327911,4
69,0.347048,4
70,0.328451,4
71,0.320900,4
72,0.329119,4
73,0.334919,4
74,0.342969,4
75,0.331219,4
76,0.327971,4
77,0.328079,4
78,0.327318,4
79,0.325216,4
80,0.330844,4
81,0.328898,4
82,0.334992,4
83,0.333403,4
84,0.331858,4
85,0.321978,4
86,0.335686,4
87,0.334553,4
88,0.335514,4
89,0.317789,4
90,0.344790,4
91,0.328972,4
92,0.335666,4
93,0.326360,4
94,0.326387,4
95,0.325863,4
96,0.325784,4
97,0.329744,4
98,0.343428,4
99,0.330471,4
100,0.331637,4
