test_number,evaluation_time_seconds,cores_used
1,0.182597,6
2,0.199300,6
3,0.199133,6
4,0.185913,6
5,0.183256,6
6,0.189565,6
7,0.191973,6
8,0.188038,6
9,0.187212,6
10,0.185282,6
11,0.188718,6
12,0.185647,6
13,0.196364,6
14,0.186530,6
15,0.197862,6
16,0.195337,6
17,0.190050,6
18,0.187679,6
19,0.187760,6
20,0.184879,6
21,0.184982,6
22,0.188584,6
23,0.193566,6
24,0.185395,6
25,0.196994,6
26,0.181164,6
27,0.185667,6
28,0.192319,6
29,0.188541,6
30,0.189862,6
31,0.184871,6
32,0.187710,6
33,0.186556,6
34,0.190468,6
35,0.195925,6
36,0.191945,6
37,0.187334,6
38,0.183614,6
39,0.190687,6
40,0.186404,6
41,0.188172,6
42,0.187686,6
43,0.195155,6
44,0.189041,6
45,0.188681,6
46,0.194161,6
47,0.195928,6
48,0.187678,6
49,0.189086,6
50,0.191803,6
51,0.184947,6
52,0.192836,6
53,0.186916,6
54,0.184311,6
55,0.186335,6
56,0.192467,6
57,0.186732,6
58,0.186166,6
59,0.185168,6
60,0.185756,6
61,0.185033,6
62,0.189440,6
63,0.189939,6
64,0.185096,6
65,0.193810,6
66,0.190220,6
67,0.192921,6
68,0.187847,6
69,0.198573,6
70,0.187971,6
71,0.183454,6
72,0.188078,6
73,0.191352,6
74,0.196123,6
75,0.187805,6
76,0.186676,6
77,0.187121,6
78,0.186447,6
79,0.185227,6
80,0.188652,6
81,0.187495,6
82,0.191061,6
83,0.190129,6
84,0.190213,6
85,0.184686,6
86,0.191889,6
87,0.191623,6
88,0.191585,6
89,0.182567,6
90,0.197169,6
91,0.188185,6
92,0.191823,6
93,0.186525,6
94,0.186929,6
95,0.185958,6
96,0.185908,6
97,0.188029,6
98,0.196300,6
99,0.188985,6
100,0.189215,6
