test_number,evaluation_time_seconds,cores_used
1,0.338363,12
2,0.328923,12
3,0.318941,12
4,0.307853,12
5,0.303763,12
6,0.312806,12
7,0.318302,12
8,0.312000,12
9,0.310805,12
10,0.307563,12
11,0.313532,12
12,0.308033,12
13,0.325478,12
14,0.309555,12
15,0.327467,12
16,0.324082,12
17,0.315031,12
18,0.311297,12
19,0.311857,12
20,0.306927,12
21,0.306923,12
22,0.313408,12
23,0.321644,12
24,0.308264,12
25,0.327600,12
26,0.300522,12
27,0.307604,12
28,0.317718,12
29,0.311447,12
30,0.314036,12
31,0.305334,12
32,0.310177,12
33,0.308234,12
34,0.314747,12
35,0.323877,12
36,0.317397,12
37,0.310265,12
38,0.303306,12
39,0.315094,12
40,0.307563,12
41,0.310565,12
42,0.310816,12
43,0.319844,12
44,0.310913,12
45,0.313486,12
46,0.322022,12
47,0.324366,12
48,0.310210,12
49,0.312119,12
50,0.315060,12
51,0.305867,12
52,0.319068,12
53,0.309435,12
54,0.304706,12
55,0.308318,12
56,0.318223,12
57,0.308199,12
58,0.306456,12
59,0.306659,12
60,0.307257,12
61,0.306844,12
62,0.314128,12
63,0.314803,12
64,0.306568,12
65,0.320937,12
66,0.315105,12
67,0.319460,12
68,0.310887,12
69,0.328912,12
70,0.311721,12
71,0.304549,12
72,0.312195,12
73,0.317409,12
74,0.324904,12
75,0.310887,12
76,0.309870,12
77,0.310030,12
78,0.309572,12
79,0.307246,12
80,0.312715,12
81,0.310383,12
82,0.316623,12
83,0.315588,12
84,0.313347,12
85,0.303834,12
86,0.316981,12
87,0.316050,12
88,0.317020,12
89,0.300044,12
90,0.325729,12
91,0.310488,12
92,0.316978,12
93,0.307971,12
94,0.307985,12
95,0.307432,12
96,0.307282,12
97,0.311221,12
98,0.324071,12
99,0.311846,12
100,0.312761,12
