Generations 650
Tau 0.070711
Epsilon0 0.000010
Lambda 150
Mu 50
BoxMin -1.000000
BoxMax 1.000000
EvaluationTime 3.0960
Fitness 0.910243
Sigma 0.020143
Points 200

Points (x,y,z):
0.691705 0.590025 0.237924
-0.907646 0.174851 0.387486
-0.577564 0.610942 0.570597
-0.693224 -0.574803 -0.022145
-0.629891 -0.592595 -0.378369
0.021497 -0.837849 -0.298086
0.254474 0.397445 0.901715
0.951841 0.271500 -0.167574
0.171447 -0.900290 0.213973
0.702183 -0.498452 0.475688
-0.459995 0.585347 0.718617
-0.713097 0.419070 0.282079
-0.167082 0.917749 -0.258371
-0.338717 -0.543377 0.753607
-0.814943 -0.476756 0.057974
0.116838 0.270727 0.893098
-0.958233 -0.040899 0.148085
-0.369158 0.655615 -0.633290
0.651861 -0.307498 0.698925
0.378362 -0.612136 -0.627242
0.413507 -0.762618 -0.150388
-0.274310 0.069888 0.816430
-0.886771 -0.329659 -0.245728
0.655754 0.228162 -0.570376
-0.900109 -0.099191 0.406807
-0.703702 0.218303 0.760263
-0.976660 0.081571 0.237216
0.548399 0.099268 -0.700380
-0.579578 0.015853 0.730079
-0.697000 -0.430955 0.681520
-0.410260 -0.768243 -0.384705
0.334313 -0.361628 -0.899995
0.735945 0.772284 0.188925
0.206560 0.964979 0.306254
0.901845 -0.382670 -0.022428
0.705843 -0.016406 -0.611884
0.858607 -0.563473 0.315038
-0.613607 0.135062 0.815652
0.676631 -0.435913 0.233111
-0.742370 0.078533 -0.653328
-0.138729 0.743460 -0.442048
-0.377217 0.600279 0.399819
0.887424 -0.263366 0.145522
-0.581213 0.826660 0.208605
-0.418588 0.502656 -0.563289
-0.048990 -0.054166 -0.946207
-0.688052 -0.264068 -0.578921
0.329351 0.792196 0.409176
0.143261 0.589480 0.760843
-0.380716 -0.686238 0.474772
-0.428489 0.104813 0.910055
-0.856997 0.155360 0.409511
0.575193 0.644108 0.568396
0.823278 0.597684 0.182307
-0.078870 -0.864767 -0.285109
0.114053 -0.924911 -0.186890
-0.576818 -0.535585 -0.463544
-0.460454 0.461021 0.668385
-0.753271 -0.392904 0.343680
0.473755 0.649156 0.275646
-0.246902 -0.182811 0.997064
0.272591 -0.248259 -0.881130
-0.998452 -0.037702 -0.264854
-0.415113 0.633094 -0.643151
-0.047381 0.304007 0.902599
0.567697 0.709588 0.372436
0.690132 0.666225 0.152780
-0.857993 -0.472279 0.227259
-0.775930 0.019170 -0.616369
-0.743729 0.092008 -0.703613
-0.291919 0.768480 0.212414
-0.359961 -0.861584 -0.096611
-0.284417 -0.591608 0.728749
-0.265986 0.422475 -0.869762
-0.516336 0.874709 0.324170
0.466009 0.617763 0.456725
0.688079 0.223243 -0.609867
-0.081104 0.928631 0.013370
-0.733474 0.117432 -0.617954
0.091136 0.890422 -0.276305
0.741338 0.475293 0.127227
0.664707 -0.348163 0.625588
-0.664542 -0.396696 -0.642433
-0.879282 0.042238 0.325112
0.336857 -0.701769 -0.525121
-0.082705 -0.650650 -0.786926
0.124057 0.883173 -0.483377
0.730354 0.044075 -0.482369
-0.213345 -0.889250 -0.446505
0.611950 -0.690489 0.218240
-0.954988 0.213914 0.282072
0.459981 0.705694 -0.460841
0.881152 -0.067619 0.457867
0.751094 0.258945 0.515627
-0.901348 -0.136397 0.307359
0.821949 -0.160849 0.584632
-0.265737 -0.235818 -0.804843
-0.147411 -0.005193 0.905760
-0.206864 0.713588 0.381930
0.794161 0.337626 -0.031008
0.371582 -0.868644 0.193070
-0.533126 0.364040 0.704649
-0.340857 0.321041 0.875939
-0.397094 0.889120 0.105920
0.939660 0.294529 0.077381
0.756461 0.016224 0.431455
-0.459820 -0.675804 -0.453227
-0.365913 0.612828 0.594563
0.797733 -0.117252 0.479281
-0.700176 -0.406628 0.744271
0.140763 0.029814 -0.843002
-0.380384 0.106366 -0.919578
-0.050448 0.513829 -0.676942
-0.071654 0.533468 0.769207
-0.562310 -0.310240 0.600816
0.269744 0.179499 -0.866150
0.981349 -0.186108 -0.152077
-0.390205 -0.772520 -0.373045
0.630445 -0.386050 -0.557204
0.320700 -0.440484 0.868497
-0.814002 -0.476939 0.234375
-0.317802 -0.677967 -0.564594
-0.249135 -0.494752 -0.778039
0.848074 -0.247040 0.107737
0.326209 0.970028 0.237749
-0.268352 0.408128 0.789109
-0.306319 -0.599293 0.788080
0.392651 -0.068218 0.923829
0.259101 0.655194 0.673434
-0.334768 -0.299239 0.963817
-0.094768 -0.664290 -0.570267
0.268147 0.495386 0.830717
0.318984 0.852249 0.290421
0.556543 0.689162 -0.349655
-0.726551 -0.424295 0.197339
0.858747 -0.452707 0.415927
-0.261432 -0.849857 0.279257
0.352758 0.871547 0.390008
0.344533 -0.825488 0.407070
-0.620478 0.040909 -0.618320
-0.424425 -0.695004 -0.528295
-0.048078 0.876863 0.396489
0.110867 0.865035 0.245931
-0.279885 -0.084831 -0.928939
0.213894 -0.976277 -0.033598
-0.745097 -0.423289 0.453036
