Generations 550
Tau 0.070711
Epsilon0 0.000010
Lambda 150
Mu 50
BoxMin -1.000000
BoxMax 1.000000
EvaluationTime 2.7871
Fitness 0.914048
Sigma 0.014942
Points 200

Points (x,y,z):
0.434428 -0.757534 -0.457796
-0.919394 -0.008889 -0.403967
-0.515233 0.332620 0.688251
-0.529364 0.701541 -0.406301
-0.518539 -0.720988 0.357871
0.387776 0.718303 0.536002
0.314110 -0.686553 -0.629110
0.309497 -0.719488 0.521291
0.549500 -0.212317 0.772745
-0.736662 -0.100167 0.530048
0.645416 0.544148 0.478284
0.377789 -0.808046 0.367212
0.001338 -0.744590 -0.701233
-0.273791 0.927594 0.163568
0.449507 -0.612143 0.525835
0.601531 0.681279 -0.416192
-0.984186 0.067155 0.197135
0.320574 -0.373105 -0.906802
0.629887 -0.647517 -0.395705
-0.710881 -0.079024 -0.649315
0.413443 -0.645443 -0.523603
-0.827772 0.154103 0.580566
0.333205 -0.808443 -0.341229
0.505246 -0.599629 0.591391
0.821899 -0.360978 0.295744
0.533793 -0.578951 -0.656908
0.717833 -0.690784 0.101694
-0.801572 -0.029245 -0.435125
-0.641079 -0.009265 0.624898
0.384503 -0.593547 0.685025
-0.106873 -0.272073 0.943886
0.437395 -0.006112 0.883903
-0.203680 0.872059 -0.382948
-0.122998 -0.504569 0.899212
0.411581 -0.076296 -0.835839
0.767054 0.092080 -0.478306
-0.568969 0.669230 0.309923
0.009545 -0.940472 -0.295801
0.139800 0.612927 0.758309
0.481950 -0.399509 -0.818665
-0.155680 0.775120 0.370321
0.595625 0.740207 0.234780
0.446332 -0.879312 -0.268582
-0.522027 0.169337 0.821636
0.046609 -0.026990 -0.944315
0.868594 -0.076373 -0.381984
-0.045493 -0.770003 -0.484710
0.817236 -0.017222 0.384817
0.823153 -0.613891 0.240366
0.824059 0.088970 -0.547694
-0.230541 0.622325 -0.781903
0.933906 -0.218401 -0.070410
0.658247 0.705650 0.184154
0.458094 -0.589671 -0.530538
0.691703 0.585853 0.361757
0.844700 -0.432522 0.311294
-0.864938 -0.376043 0.273274
0.396921 0.626763 0.437859
-0.193792 0.972680 0.177083
0.808285 0.181048 0.475934
-0.361785 -0.884584 -0.355424
0.082542 -0.275880 0.505103
0.497931 -0.231408 0.908427
-0.541205 -0.499194 -0.600024
0.610934 -0.480482 -0.651307
0.299982 0.738468 -0.554820
-0.789343 -0.130391 -0.672041
0.842849 -0.302180 -0.030868
0.456728 0.783207 -0.166594
-0.785979 0.039921 -0.620262
-0.215137 0.874728 0.421854
-0.387715 0.522098 -0.597270
0.343022 0.773853 0.268766
-0.594860 0.118861 -0.737155
0.278527 -0.668110 -0.683756
0.478302 0.767930 0.314676
0.338904 0.482495 0.712075
-0.512326 0.177193 0.754868
0.064936 0.666471 0.693059
0.044676 0.938990 -0.255760
0.553828 -0.844940 -0.275018
0.640730 0.672267 -0.263057
0.150727 -0.815706 -0.440776
0.052409 0.388804 0.919284
0.562388 0.413698 -0.641867
-0.044193 0.689537 0.712237
0.357601 0.637085 -0.511759
-0.824025 -0.576437 0.085642
0.328415 0.057523 -0.889408
0.358263 -0.046935 0.888513
0.816467 0.037775 -0.518725
0.134563 0.394199 0.884029
0.576900 0.401212 -0.713413
-0.917651 0.261104 0.162746
0.497571 -0.047275 0.751782
0.627489 -0.650527 0.392735
-0.487694 0.736323 0.470131
-0.295589 0.799470 0.260761
-0.170695 -0.659872 -0.638459
0.690976 -0.752467 -0.117774
-0.809390 -0.395394 0.203083
-0.416077 0.025828 -0.888067
0.815268 0.362428 0.355920
0.467916 0.629690 0.606474
-0.504124 0.170408 0.748973
-0.559015 -0.839946 -0.201103
-0.046887 -0.664362 -0.762285
-0.631598 0.288150 0.678503
0.234073 -0.862886 -0.288662
0.856776 0.072196 -0.499390
-0.386158 -0.917519 0.070580
-0.771535 -0.531249 -0.418133
0.735146 -0.710323 -0.094022
0.487134 -0.010492 -0.881744
-0.447780 0.582235 -0.652965
0.690187 0.701642 -0.224089
0.790090 0.497420 -0.165127
0.281551 0.681725 0.639604
-0.744263 -0.374317 -0.508068
-0.820579 -0.055543 -0.635953
0.688321 -0.557420 0.294921
-0.852482 0.195241 -0.495651
-0.266802 0.829808 0.337081
0.451134 -0.701962 -0.500857
0.346115 -0.705858 0.431792
-0.314247 -0.256464 -0.892708
-0.134735 0.065794 0.962287
0.221943 -0.955183 0.061979
0.612895 -0.581415 -0.603370
-0.971583 0.055835 0.267810
-0.607414 -0.766320 -0.316273
-0.320861 0.672660 -0.567974
-0.806794 -0.030736 -0.611359
-0.591165 -0.697694 -0.242060
-0.554126 0.738909 -0.336992
-0.270938 -0.654951 -0.570789
-0.107957 -0.627716 -0.618870
0.418993 -0.812563 -0.083029
-0.056914 -0.846835 -0.256390
0.577759 0.686888 -0.393023
-0.177025 -0.942276 0.326191
0.605788 0.552012 0.461241
-0.383164 0.190419 0.793468
0.016719 -0.999396 -0.245466
-0.235961 0.943808 0.072902
