test_number,evaluation_time_seconds,cores_used
1,0.494076,24
2,0.446257,24
3,0.285143,24
4,0.273619,24
5,0.265573,24
6,0.275182,24
7,0.279608,24
8,0.274295,24
9,0.272604,24
10,0.270055,24
11,0.274883,24
12,0.270667,24
13,0.284677,24
14,0.270180,24
15,0.285984,24
16,0.282891,24
17,0.276181,24
18,0.273218,24
19,0.273972,24
20,0.269937,24
21,0.269287,24
22,0.274694,24
23,0.282442,24
24,0.270190,24
25,0.287813,24
26,0.265002,24
27,0.270502,24
28,0.279421,24
29,0.274074,24
30,0.276072,24
31,0.268241,24
32,0.272493,24
33,0.270653,24
34,0.276394,24
35,0.284058,24
36,0.279075,24
37,0.271671,24
38,0.265918,24
39,0.276357,24
40,0.269958,24
41,0.272588,24
42,0.271432,24
43,0.274870,24
44,0.266893,24
45,0.268701,24
46,0.276355,24
47,0.279315,24
48,0.266774,24
49,0.268556,24
50,0.271800,24
51,0.262929,24
52,0.276455,24
53,0.266525,24
54,0.262305,24
55,0.265384,24
56,0.273994,24
57,0.265518,24
58,0.264473,24
59,0.265748,24
60,0.263811,24
61,0.269806,24
62,0.270327,24
63,0.271498,24
64,0.263276,24
65,0.276839,24
66,0.271638,24
67,0.275509,24
68,0.268335,24
69,0.284167,24
70,0.268726,24
71,0.262380,24
72,0.269010,24
73,0.274571,24
74,0.280703,24
75,0.268156,24
76,0.266479,24
77,0.267404,24
78,0.267154,24
79,0.265072,24
80,0.269781,24
81,0.268586,24
82,0.273589,24
83,0.272490,24
84,0.270924,24
85,0.262955,24
86,0.274062,24
87,0.272790,24
88,0.273779,24
89,0.259466,24
90,0.281183,24
91,0.268131,24
92,0.273994,24
93,0.265688,24
94,0.265806,24
95,0.265642,24
96,0.265638,24
97,0.274753,24
98,0.279885,24
99,0.275665,24
100,0.275522,24
