Generations 250
Tau 0.070711
Epsilon0 0.000010
Lambda 150
Mu 50
BoxMin -1.000000
BoxMax 1.000000
EvaluationTime 1.3561
Fitness 0.562253
Sigma 0.040074
Points 200

Points (x,y,z):
0.505166 -0.562524 -0.583152
-0.813698 0.101896 -0.461658
-0.409464 0.307114 0.843545
-0.597298 0.623847 -0.317742
-0.555964 -0.799162 0.416774
0.258876 0.545372 0.467324
0.494713 -0.722794 -0.506735
0.048056 -0.933383 0.398498
0.554847 -0.518515 0.736992
-0.877749 0.039355 0.605703
0.617400 0.624669 0.537162
0.392303 -0.876550 0.484758
0.072701 -0.898634 -0.455950
-0.198700 0.634149 0.203664
0.355318 -0.822352 0.451253
0.608986 0.794692 -0.224889
-0.984098 0.024556 0.437037
0.434165 -0.348466 -0.844454
0.664254 -0.678075 -0.264877
-0.761573 -0.113315 -0.638341
0.586408 -0.703547 -0.590564
-0.798984 0.041812 0.590838
0.385929 -0.875309 -0.329893
0.411291 -0.601532 0.568749
0.755022 -0.165001 0.489769
0.457363 -0.866171 -0.497385
0.736533 -0.603400 0.349821
-0.888529 0.198487 -0.462959
-0.864831 0.242487 0.697937
0.253888 -0.656349 0.536120
-0.177733 -0.385605 0.831901
0.384052 -0.072800 0.850113
-0.283678 0.889018 -0.431829
-0.276725 -0.059395 0.874856
0.496387 -0.011407 -0.937036
0.982312 0.076376 -0.454822
-0.806936 0.620738 0.268643
-0.037643 -0.858241 -0.430540
0.298901 0.586438 0.716506
0.257009 -0.528701 -0.928929
0.081559 0.460039 0.666604
0.830881 0.624386 0.408506
0.727698 -0.641817 0.059549
0.669693 0.401042 0.780205
0.288796 0.001886 -0.980867
0.947490 0.213298 -0.094058
0.054578 -0.817738 -0.644580
0.979485 -0.093285 0.358181
0.829232 -0.501177 0.312437
-0.860158 -0.489953 0.034313
-0.067390 0.482837 -0.531885
0.907298 -0.316249 -0.200141
0.547450 0.720444 0.152380
0.616056 -0.526122 -0.624511
0.569025 0.674673 0.414963
0.726170 -0.377198 0.805305
-0.841831 -0.362925 0.232068
0.438437 0.601068 0.477742
-0.126055 0.867059 0.240536
0.777302 0.102251 0.426607
-0.292104 -0.891536 -0.132853
-0.105916 -0.340142 0.475155
0.521705 -0.194735 0.875324
-0.652077 -0.560949 -0.578050
0.374342 -0.244900 -0.907103
0.284638 0.666376 -0.348051
-0.815304 0.136904 -0.657824
0.978036 -0.398527 -0.161703
0.373992 0.906377 -0.267832
-0.890047 0.032465 -0.463316
-0.084546 0.754956 0.338975
-0.393683 0.753488 -0.439807
0.300285 0.815488 0.184456
-0.661807 0.101378 -0.660818
0.341456 -0.471199 -0.774825
0.595416 0.661536 0.430184
0.608898 0.258781 0.513442
-0.308206 0.459155 0.666747
0.036057 0.757189 0.825483
-0.300566 0.857171 -0.276269
0.546852 -0.893953 -0.214303
0.558131 0.875887 -0.322830
0.082457 -0.959059 -0.508845
-0.038694 0.189215 0.912442
0.738166 0.412555 -0.637627
0.004552 0.750931 -0.012626
0.538793 0.648895 -0.561340
-0.881992 -0.619819 0.014079
0.189016 -0.002387 -0.932027
0.489490 -0.020434 0.847395
0.572065 -0.299288 -0.232527
0.036088 0.459231 0.997616
0.535203 0.392426 -0.958854
-0.884851 0.124517 0.316574
0.445662 0.251823 0.941295
0.361518 -0.697366 0.369033
-0.562612 0.678524 0.349061
-0.517109 0.761903 0.267489
-0.237020 -0.699358 -0.548773
0.396140 -0.788634 -0.290017
-0.712505 -0.567728 0.260893
-0.369135 0.024518 -0.919292
0.732827 0.411902 0.074236
0.438511 0.534739 0.623411
-0.636006 0.230008 0.760073
-0.650780 -0.850191 -0.306322
-0.092932 -0.580925 -0.798884
-0.677407 0.406200 0.693639
0.561484 -0.883878 -0.189834
0.969230 0.062240 -0.425627
-0.625867 -0.672860 0.279948
-0.864883 -0.562919 -0.070140
0.647361 -0.747326 -0.159314
0.404056 -0.133477 -0.891101
-0.489336 0.594035 -0.674996
0.570603 0.845823 -0.185786
0.870990 0.487598 -0.328105
0.280918 0.970564 0.354535
-0.780195 -0.283613 -0.528743
-0.954590 -0.024113 -0.403606
0.889601 -0.510542 0.383796
-0.771694 0.279899 -0.590004
-0.302870 0.691329 0.475510
0.533745 -0.782432 -0.329054
0.622835 -0.567460 0.643588
-0.362863 -0.221865 -0.792517
-0.197443 0.181041 0.998427
0.193569 -0.952083 0.317078
0.623354 -0.476752 -0.648419
-0.810044 -0.044504 0.398063
-0.596214 -0.637746 -0.081201
-0.299994 0.587737 -0.705245
-0.672817 0.029502 -0.656100
-0.544833 -0.923696 0.091630
-0.167715 0.643223 -0.897992
-0.619655 -0.382935 -0.507842
0.009008 -0.747136 -0.714040
0.213965 -0.504447 -0.172053
-0.595532 -0.639008 0.472755
0.788266 0.691204 -0.349643
-0.240900 -0.923546 0.255382
0.603663 0.645146 0.306791
-0.429381 0.124959 0.941939
-0.148724 -0.891867 -0.393029
-0.203989 0.967788 -0.020723
-0.497723 0.624610 -0.464272
0.343440 0.843885 0.461092
-0.755763 -0.482068 0.320710
-0.743697 0.315793 -0.473232
-0.052290 0.953505 0.135175
-0.909015 0.090563 -0.278296
-0.409465 -0.835012 -0.160775
0.626178 0.502755 -0.704120
-0.854417 0.007229 -0.441255
-0.731750 0.047668 0.652793
-0.614337 0.379724 0.788470
0.231587 -0.778526 0.551867
0.320615 0.975308 -0.178079
0.547474 0.824015 -0.151910
0.081098 0.164721 -0.529916
-0.524409 0.636892 0.422445
0.444752 0.726141 0.767398
-0.804762 -0.571209 0.045596
0.552047 0.655926 0.415706
0.436959 -0.238809 0.890998
0.141462 -0.779165 -0.356736
-0.264325 0.838564 -0.577470
-0.944533 0.068809 0.363113
0.775655 0.048459 -0.006429
-0.635922 -0.419654 -0.572124
-0.082189 -0.763451 -0.506270
-0.212603 0.747586 0.405445
0.650843 0.464767 -0.784926
0.836591 -0.167355 0.543625
-0.782378 -0.538457 0.190449
-0.519726 0.699492 0.446531
-0.320353 -0.967531 -0.074911
0.542556 0.883636 -0.105280
-0.011972 -0.937723 0.133594
0.506318 0.683661 -0.180300
0.263901 -0.865170 0.380600
-0.599883 0.703988 0.305808
0.247567 -0.898276 -0.532421
-0.591023 0.278594 0.179799
0.068175 0.118986 -0.930734
0.303987 0.403217 -0.966858
0.869398 -0.293834 0.297558
-0.494237 -0.764321 -0.260264
-0.567439 -0.712065 -0.423425
0.617076 -0.467022 0.652626
-0.518847 0.734050 0.267169
-0.656724 -0.698660 -0.290006
0.942210 -0.021578 -0.357522
-0.889492 -0.601448 0.037349
-0.541946 -0.886460 -0.087135
0.756204 0.423193 -0.284137
0.660904 -0.147842 -0.840084
-0.287136 0.770377 -0.330884
-0.491105 -0.670982 0.212325
-0.967833 0.003347 0.513051
