test_number,evaluation_time_seconds,cores_used
1,0.226359,13
2,0.246501,13
3,0.237772,13
4,0.230604,13
5,0.226812,13
6,0.233560,13
7,0.237621,13
8,0.232326,13
9,0.231136,13
10,0.228549,13
11,0.233442,13
12,0.229582,13
13,0.243045,13
14,0.230884,13
15,0.243858,13
16,0.241536,13
17,0.235267,13
18,0.231870,13
19,0.232638,13
20,0.228655,13
21,0.228567,13
22,0.233321,13
23,0.239583,13
24,0.229558,13
25,0.244518,13
26,0.224709,13
27,0.229420,13
28,0.237089,13
29,0.232366,13
30,0.234364,13
31,0.227688,13
32,0.231388,13
33,0.229812,13
34,0.235045,13
35,0.241670,13
36,0.236980,13
37,0.230727,13
38,0.226273,13
39,0.236034,13
40,0.229725,13
41,0.232173,13
42,0.231722,13
43,0.238471,13
44,0.231618,13
45,0.233114,13
46,0.240012,13
47,0.241863,13
48,0.231759,13
49,0.232969,13
50,0.235601,13
51,0.228453,13
52,0.238418,13
53,0.231016,13
54,0.227574,13
55,0.230191,13
56,0.237484,13
57,0.230338,13
58,0.229236,13
59,0.228872,13
60,0.229252,13
61,0.229087,13
62,0.234034,13
63,0.234745,13
64,0.228373,13
65,0.240215,13
66,0.235212,13
67,0.238821,13
68,0.232257,13
69,0.245801,13
70,0.232509,13
71,0.227785,13
72,0.233293,13
73,0.237214,13
74,0.243346,13
75,0.232238,13
76,0.231226,13
77,0.231412,13
78,0.230937,13
79,0.229291,13
80,0.233345,13
81,0.231863,13
82,0.236156,13
83,0.235182,13
84,0.234354,13
85,0.227495,13
86,0.237366,13
87,0.236463,13
88,0.237006,13
89,0.224494,13
90,0.243373,13
91,0.232125,13
92,0.237293,13
93,0.230045,13
94,0.230810,13
95,0.230445,13
96,0.230025,13
97,0.233165,13
98,0.242533,13
99,0.233637,13
100,0.234251,13
