Generations 800
Tau 0.070711
Epsilon0 0.000010
Lambda 150
Mu 50
BoxMin -1.000000
BoxMax 1.000000
EvaluationTime 3.9470
Fitness 0.970440
Sigma 0.008730
Points 200

Points (x,y,z):
0.329900 -0.749771 -0.500316
-0.829105 0.010254 -0.355218
-0.506300 0.354084 0.717441
-0.567358 0.685143 -0.382116
-0.439994 -0.688577 0.439233
0.367562 0.737873 0.553203
0.346348 -0.669812 -0.584967
0.249414 -0.760165 0.466477
0.572578 -0.223793 0.792676
-0.800704 -0.195505 0.543810
0.623941 0.565215 0.466341
0.379770 -0.774173 0.402494
0.021948 -0.685820 -0.672950
-0.215107 0.914965 0.171249
0.458891 -0.684436 0.609578
0.601861 0.692984 -0.408053
-0.941091 0.067137 0.219013
0.340354 -0.299762 -0.852618
0.637277 -0.634349 -0.260576
-0.746599 -0.022000 -0.648790
0.360993 -0.665713 -0.547196
-0.825562 0.169355 0.582031
0.375553 -0.866354 -0.318093
0.514743 -0.646302 0.578551
0.816783 -0.356878 0.366123
0.521933 -0.547404 -0.645083
0.628471 -0.704461 0.096932
-0.800498 -0.004132 -0.443717
-0.693215 -0.005529 0.632664
0.358338 -0.579843 0.588032
-0.136104 -0.267828 0.948372
0.412102 -0.006142 0.813331
-0.289405 0.883222 -0.300313
-0.112774 -0.494552 0.892433
0.383953 -0.128443 -0.880296
0.819331 0.078607 -0.524569
-0.592853 0.658620 0.294627
-0.047522 -0.951982 -0.352947
0.240390 0.505360 0.751575
0.457282 -0.344834 -0.817706
-0.138616 0.773281 0.409836
0.532495 0.764766 0.187165
0.388794 -0.874878 -0.283280
-0.454206 0.285392 0.757119
-0.034032 0.019881 -0.941338
0.856012 -0.112778 -0.393706
-0.096504 -0.764078 -0.508090
0.828392 0.015686 0.389286
0.751632 -0.599856 0.300676
0.807854 0.041107 -0.423069
-0.197703 0.613334 -0.741094
0.937132 -0.248453 -0.149746
0.570925 0.652048 0.246412
0.442033 -0.579958 -0.527656
0.674651 0.585074 0.416735
0.868793 -0.348235 0.311553
-0.858042 -0.440734 0.283049
0.449115 0.679233 0.432852
-0.150526 0.967228 0.148425
0.755246 0.213706 0.473564
-0.290146 -0.888076 -0.263191
0.150071 -0.300319 0.421232
0.412776 -0.160312 0.840655
-0.497380 -0.489079 -0.521328
0.607922 -0.433755 -0.667719
0.301124 0.756370 -0.500466
-0.754857 -0.148860 -0.676899
0.859862 -0.332465 -0.022096
0.404668 0.769859 -0.199985
-0.808090 0.056888 -0.562358
-0.216471 0.815160 0.487376
-0.342598 0.544991 -0.592387
0.313973 0.751481 0.259454
-0.579856 0.102749 -0.759082
0.222725 -0.692810 -0.678948
0.419015 0.800356 0.311429
0.379188 0.507440 0.691299
-0.485992 0.154252 0.741334
0.030772 0.624942 0.692491
0.014007 0.930240 -0.247347
0.472526 -0.819891 -0.288876
0.495706 0.769457 -0.250230
0.177716 -0.802483 -0.446506
0.013363 0.379231 0.873490
0.520265 0.394067 -0.633955
0.015752 0.652265 0.695018
0.426695 0.635520 -0.508762
-0.797560 -0.536445 0.159134
0.312967 0.070449 -0.896365
0.492280 -0.085147 0.825929
0.838935 0.007663 -0.482227
0.139164 0.396998 0.910794
0.516199 0.353705 -0.762974
-0.883434 0.277204 0.194850
0.518066 -0.142209 0.839438
0.619384 -0.669569 0.381315
-0.460102 0.712681 0.488332
-0.289370 0.847008 0.210125
-0.210145 -0.695898 -0.668171
0.706543 -0.720270 -0.122558
-0.755122 -0.565087 0.183499
-0.358207 0.041261 -0.870022
0.877213 0.330207 0.314172
0.441678 0.620089 0.641296
-0.450165 0.144474 0.818503
-0.459388 -0.856438 -0.319666
-0.067691 -0.668173 -0.719402
-0.654965 0.347068 0.649929
0.143074 -0.832498 -0.492342
0.853007 0.023809 -0.449267
-0.395691 -0.869522 0.221660
-0.730988 -0.532847 -0.416629
0.738848 -0.654201 -0.087952
0.465832 -0.044925 -0.799399
-0.451997 0.547814 -0.665476
0.638484 0.666990 -0.251713
0.783567 0.494791 -0.168873
0.328070 0.678753 0.615072
-0.753219 -0.419607 -0.450290
-0.805626 0.059963 -0.596070
0.706565 -0.536062 0.288925
-0.842945 0.200008 -0.456110
-0.271731 0.831987 0.304271
0.441953 -0.709983 -0.504143
0.325963 -0.743694 0.480193
-0.374740 -0.178673 -0.923020
-0.118117 0.195029 0.988666
0.218780 -0.942705 0.065172
0.592958 -0.510782 -0.544741
-0.985699 0.048470 0.266250
-0.598953 -0.736683 -0.344092
-0.305944 0.636701 -0.632378
-0.813027 0.031241 -0.566696
-0.594846 -0.660580 -0.210989
-0.507039 0.716417 -0.365039
