Generations 700
Tau 0.070711
Epsilon0 0.000010
Lambda 150
Mu 50
BoxMin -1.000000
BoxMax 1.000000
EvaluationTime 3.4818
Fitness 0.970319
Sigma 0.008947
Points 200

Points (x,y,z):
0.435727 -0.716582 -0.463737
-0.836986 0.011379 -0.347950
-0.511542 0.348830 0.725357
-0.541719 0.692259 -0.406589
-0.450690 -0.690690 0.449522
0.370458 0.728302 0.545344
0.346302 -0.666036 -0.583748
0.238616 -0.757378 0.444758
0.562283 -0.248620 0.725254
-0.791132 -0.127391 0.569966
0.588570 0.581388 0.498233
0.397973 -0.814585 0.379204
0.025302 -0.697906 -0.675026
-0.260707 0.924285 0.181425
0.422118 -0.618032 0.523110
0.584648 0.665837 -0.344934
-0.944687 0.067865 0.211949
0.338134 -0.306165 -0.851805
0.634976 -0.634798 -0.357042
-0.758463 -0.031928 -0.635641
0.374810 -0.661504 -0.541789
-0.815098 0.155885 0.575785
0.356771 -0.847909 -0.355274
0.538613 -0.648090 0.557352
0.850822 -0.335640 0.314206
0.494682 -0.569291 -0.628208
0.655648 -0.734328 0.024141
-0.805322 0.003485 -0.432673
-0.689823 -0.028167 0.623559
0.370657 -0.571696 0.603722
-0.128505 -0.259999 0.952275
0.384628 -0.026030 0.892393
-0.266260 0.818130 -0.294120
-0.116070 -0.485411 0.871908
0.345188 -0.085254 -0.890496
0.836200 0.092848 -0.496445
-0.577347 0.684019 0.254054
0.060684 -0.924409 -0.233405
0.234505 0.539803 0.773905
0.466189 -0.373302 -0.799742
-0.153124 0.745326 0.393791
0.593863 0.728324 0.208394
0.385520 -0.888195 -0.270482
-0.478481 0.248020 0.745125
0.058922 -0.007341 -0.956432
0.902309 -0.023497 -0.346594
-0.114089 -0.763512 -0.487293
0.848665 0.008633 0.385954
0.751076 -0.605586 0.302984
0.798692 0.062797 -0.422744
-0.237831 0.614720 -0.718194
0.928302 -0.246095 -0.137089
0.605374 0.647391 0.211233
0.442690 -0.587157 -0.535639
0.660285 0.584715 0.435469
0.864520 -0.336102 0.313420
-0.832830 -0.408861 0.298067
0.407963 0.651171 0.427151
-0.118039 0.953626 0.180689
0.825311 0.207172 0.455143
-0.281392 -0.917503 -0.257674
0.128394 -0.302024 0.438848
0.410153 -0.158201 0.843926
-0.497722 -0.513289 -0.558593
0.606276 -0.438207 -0.648989
0.243605 0.729265 -0.547200
-0.767363 -0.155488 -0.667747
0.837567 -0.317408 0.005062
0.438092 0.779921 -0.202026
-0.819719 0.051474 -0.565244
-0.210450 0.814752 0.496089
-0.415666 0.534730 -0.567280
0.317989 0.776134 0.294781
-0.557588 0.091525 -0.789769
0.287873 -0.675550 -0.704368
0.411504 0.752949 0.303817
0.368043 0.518718 0.690160
-0.475654 0.147552 0.731053
0.045810 0.635445 0.656162
0.043039 0.939470 -0.203643
0.482016 -0.816813 -0.291159
