test_number,evaluation_time_seconds,cores_used
1,0.234140,25
2,0.254274,25
3,0.246590,25
4,0.238871,25
5,0.235440,25
6,0.242829,25
7,0.246986,25
8,0.242086,25
9,0.240952,25
10,0.238745,25
11,0.242730,25
12,0.239126,25
13,0.252561,25
14,0.240506,25
15,0.253809,25
16,0.251272,25
17,0.244421,25
18,0.241275,25
19,0.241884,25
20,0.237950,25
21,0.237845,25
22,0.243025,25
23,0.249122,25
24,0.238909,25
25,0.253093,25
26,0.233624,25
27,0.238841,25
28,0.245783,25
29,0.242045,25
30,0.243515,25
31,0.236464,25
32,0.240728,25
33,0.238896,25
34,0.244055,25
35,0.251009,25
36,0.246317,25
37,0.239610,25
38,0.235028,25
39,0.244394,25
40,0.239312,25
41,0.240754,25
42,0.240528,25
43,0.247690,25
44,0.240797,25
45,0.242516,25
46,0.249332,25
47,0.250723,25
48,0.240566,25
49,0.242113,25
50,0.244753,25
51,0.238047,25
52,0.247654,25
53,0.240308,25
54,0.237471,25
55,0.239695,25
56,0.246767,25
57,0.239039,25
58,0.237776,25
59,0.237412,25
60,0.237106,25
61,0.236863,25
62,0.242729,25
63,0.243298,25
64,0.236977,25
65,0.248538,25
66,0.244287,25
67,0.247181,25
68,0.241052,25
69,0.254887,25
70,0.241255,25
71,0.236296,25
72,0.241708,25
73,0.245814,25
74,0.251805,25
75,0.241022,25
76,0.239802,25
77,0.240358,25
78,0.239038,25
79,0.237721,25
80,0.241797,25
81,0.240600,25
82,0.244796,25
83,0.243526,25
84,0.242199,25
85,0.235470,25
86,0.245202,25
87,0.244684,25
88,0.245281,25
89,0.232833,25
90,0.248372,25
91,0.236434,25
92,0.241845,25
93,0.235085,25
94,0.235561,25
95,0.639623,25
96,0.238136,25
97,0.264636,25
98,0.263508,25
99,0.279297,25
100,0.337314,25
