test_number,evaluation_time_seconds,cores_used
1,0.154643,30
2,0.090241,30
3,0.088264,30
4,0.088514,30
5,0.087069,30
6,0.107087,30
7,0.130954,30
8,0.117476,30
9,0.081733,30
10,0.081130,30
11,0.082576,30
12,0.081098,30
13,0.084837,30
14,0.080376,30
15,0.084665,30
16,0.084371,30
17,0.081868,30
18,0.083936,30
19,0.086772,30
20,0.085748,30
21,0.086339,30
22,0.087646,30
23,0.085733,30
24,0.082526,30
25,0.086985,30
26,0.080171,30
27,0.081740,30
28,0.082893,30
29,0.080506,30
30,0.080922,30
31,0.079867,30
32,0.090772,30
33,0.125834,30
34,0.128785,30
35,0.129818,30
36,0.128425,30
37,0.126944,30
38,0.125402,30
39,0.127656,30
40,0.126927,30
41,0.127459,30
42,0.124989,30
43,0.129578,30
44,0.127598,30
45,0.127291,30
46,0.129618,30
47,0.128883,30
48,0.124148,30
49,0.112750,30
50,0.081280,30
51,0.079271,30
52,0.082255,30
53,0.080734,30
54,0.078957,30
55,0.079659,30
56,0.081391,30
57,0.078155,30
58,0.078259,30
59,0.078725,30
60,0.079050,30
61,0.078480,30
62,0.079705,30
63,0.080161,30
64,0.078360,30
65,0.082171,30
66,0.080312,30
67,0.081238,30
68,0.079532,30
69,0.082911,30
70,0.080125,30
71,0.077726,30
72,0.080260,30
73,0.081506,30
74,0.082795,30
75,0.080620,30
76,0.080800,30
77,0.080469,30
78,0.080436,30
79,0.079779,30
80,0.081341,30
81,0.080557,30
82,0.081954,30
83,0.082013,30
84,0.081013,30
85,0.078920,30
86,0.797464,30
87,0.237308,30
88,0.185952,30
89,0.172448,30
90,0.213559,30
91,0.217518,30
92,0.230311,30
93,0.202253,30
94,0.236001,30
95,0.383221,30
96,0.250765,30
97,0.184016,30
