test_number,evaluation_time_seconds,cores_used
1,0.508527,2
2,0.555405,2
3,0.536109,2
4,0.520738,2
5,0.512860,2
6,0.529425,2
7,0.536795,2
8,0.524971,2
9,0.521646,2
10,0.516299,2
11,0.526345,2
12,0.519720,2
13,0.547924,2
14,0.520828,2
15,0.550227,2
16,0.548577,2
17,0.529595,2
18,0.523992,2
19,0.525710,2
20,0.516320,2
21,0.517155,2
22,0.526878,2
23,0.541069,2
24,0.518281,2
25,0.552164,2
26,0.508114,2
27,0.519479,2
28,0.536650,2
29,0.525293,2
30,0.530025,2
31,0.513776,2
32,0.523245,2
33,0.520554,2
34,0.531050,2
35,0.546495,2
36,0.534948,2
37,0.521132,2
38,0.510377,2
39,0.530848,2
40,0.518585,2
41,0.523575,2
42,0.523481,2
43,0.539305,2
44,0.522580,2
45,0.526350,2
46,0.543350,2
47,0.549281,2
48,0.523891,2
49,0.527499,2
50,0.533006,2
51,0.516008,2
52,0.538218,2
53,0.521738,2
54,0.514584,2
55,0.549408,2
56,0.558612,2
57,0.519727,2
58,0.516829,2
59,0.516382,2
60,0.517287,2
61,0.516852,2
62,0.528003,2
63,0.530431,2
64,0.514878,2
65,0.540010,2
66,0.531461,2
67,0.538888,2
68,0.525514,2
69,0.555701,2
70,0.524855,2
71,0.512954,2
72,0.526120,2
73,0.537495,2
74,0.548676,2
75,0.524549,2
76,0.520765,2
77,0.523127,2
78,0.520472,2
79,0.517362,2
80,0.527187,2
81,0.524067,2
82,0.534978,2
83,0.531452,2
84,0.529665,2
85,0.512204,2
86,0.536005,2
87,0.534447,2
88,0.534506,2
89,0.505794,2
90,0.548918,2
91,0.523373,2
92,0.534094,2
93,0.518683,2
94,0.518473,2
95,0.518365,2
96,0.518109,2
97,0.524032,2
98,0.546086,2
99,0.525208,2
100,0.528044,2
