test_number,evaluation_time_seconds,cores_used
1,0.219863,5
2,0.238609,5
3,0.231206,5
4,0.224560,5
5,0.220828,5
6,0.227906,5
7,0.231429,5
8,0.226768,5
9,0.225669,5
10,0.223439,5
11,0.227205,5
12,0.223753,5
13,0.237089,5
14,0.224590,5
15,0.237798,5
16,0.235123,5
17,0.228590,5
18,0.225572,5
19,0.226234,5
20,0.223630,5
21,0.222376,5
22,0.227200,5
23,0.233419,5
24,0.223576,5
25,0.237486,5
26,0.218862,5
27,0.223367,5
28,0.230918,5
29,0.226379,5
30,0.228684,5
31,0.221953,5
32,0.226981,5
33,0.224082,5
34,0.229060,5
35,0.235762,5
36,0.230868,5
37,0.225231,5
38,0.220766,5
39,0.229322,5
40,0.223604,5
41,0.225880,5
42,0.225755,5
43,0.232443,5
44,0.225308,5
45,0.227342,5
46,0.233913,5
47,0.235700,5
48,0.225636,5
49,0.227674,5
50,0.229687,5
51,0.222271,5
52,0.231925,5
53,0.225187,5
54,0.222918,5
55,0.224124,5
56,0.231249,5
57,0.224088,5
58,0.223960,5
59,0.223059,5
60,0.223976,5
61,0.223221,5
62,0.228264,5
63,0.229057,5
64,0.222731,5
65,0.233577,5
66,0.229519,5
67,0.232839,5
68,0.226469,5
69,0.240446,5
70,0.227552,5
71,0.221837,5
72,0.227467,5
73,0.231924,5
74,0.237417,5
75,0.226958,5
76,0.225726,5
77,0.226246,5
78,0.225852,5
79,0.224180,5
80,0.228068,5
81,0.226939,5
82,0.231453,5
83,0.229828,5
84,0.229156,5
85,0.222108,5
86,0.231315,5
87,0.231087,5
88,0.231319,5
89,0.219285,5
90,0.238124,5
91,0.226722,5
92,0.231955,5
93,0.224923,5
94,0.225178,5
95,0.224788,5
96,0.224816,5
97,0.227342,5
98,0.236810,5
99,0.227890,5
100,0.228823,5
