test_number,evaluation_time_seconds,cores_used
1,0.498608,18
2,0.540429,18
3,0.521147,18
4,0.506047,18
5,0.498678,18
6,0.515023,18
7,0.522466,18
8,0.511796,18
9,0.510015,18
10,0.504169,18
11,0.514020,18
12,0.505565,18
13,0.534420,18
14,0.507802,18
15,0.537499,18
16,0.531685,18
17,0.516102,18
18,0.509786,18
19,0.511381,18
20,0.503447,18
21,0.502863,18
22,0.513905,18
23,0.527507,18
24,0.504726,18
25,0.538117,18
26,0.494602,18
27,0.505144,18
28,0.523250,18
29,0.512980,18
30,0.517034,18
31,0.502366,18
32,0.508653,18
33,0.502204,18
34,0.512929,18
35,0.528206,18
36,0.517417,18
37,0.504980,18
38,0.493959,18
39,0.512958,18
40,0.501968,18
41,0.506753,18
42,0.507321,18
43,0.522481,18
44,0.506595,18
45,0.510727,18
46,0.526311,18
47,0.530603,18
48,0.507520,18
49,0.511310,18
50,0.516529,18
51,0.501074,18
52,0.523558,18
53,0.507572,18
54,0.499699,18
55,0.505420,18
56,0.522314,18
57,0.505593,18
58,0.503501,18
59,0.503307,18
60,0.504432,18
61,0.503648,18
62,0.512559,18
63,0.512973,18
64,0.499057,18
65,0.523920,18
66,0.514352,18
67,0.521279,18
68,0.508063,18
69,0.540597,18
70,0.509688,18
71,0.497756,18
72,0.510699,18
73,0.519656,18
74,0.532789,18
75,0.509319,18
76,0.506990,18
77,0.507363,18
78,0.506518,18
79,0.502083,18
80,0.511084,18
81,0.508459,18
82,0.518712,18
83,0.515689,18
84,0.512992,18
85,0.497408,18
86,0.517359,18
87,0.517011,18
88,0.517523,18
89,0.489288,18
90,0.531432,18
91,0.506951,18
92,0.518151,18
93,0.502280,18
94,0.502858,18
95,0.501872,18
96,0.502862,18
97,0.507809,18
98,0.529388,18
99,0.509199,18
100,0.511212,18
