test_number,evaluation_time_seconds,cores_used
1,0.134277,29
2,0.146393,29
3,0.143212,29
4,0.138414,29
5,0.136264,29
6,0.139948,29
7,0.142561,29
8,0.139498,29
9,0.139705,29
10,0.137485,29
11,0.139603,29
12,0.138065,29
13,0.145447,29
14,0.138005,29
15,0.145010,29
16,0.144409,29
17,0.139658,29
18,0.138564,29
19,0.139093,29
20,0.135903,29
21,0.135737,29
22,0.085601,29
23,0.087375,29
24,0.084625,29
25,0.089140,29
26,0.083037,29
27,0.084520,29
28,0.085677,29
29,0.085108,29
30,0.085455,29
31,0.084554,29
32,0.136663,29
33,0.136085,29
34,0.138583,29
35,0.141983,29
36,0.139857,29
37,0.136234,29
38,0.133498,29
39,0.139110,29
40,0.135517,29
41,0.136829,29
42,0.136828,29
43,0.140462,29
44,0.160884,29
45,0.173951,29
46,0.177587,29
47,0.176919,29
48,0.167035,29
49,0.167929,29
50,0.168467,29
51,0.164951,29
52,0.171657,29
53,0.168118,29
54,0.166185,29
55,0.167485,29
56,0.171060,29
57,0.167529,29
58,0.167077,29
59,0.167025,29
60,0.167069,29
61,0.166794,29
62,0.169502,29
63,0.170231,29
64,0.166755,29
65,0.173124,29
66,0.170480,29
67,0.172407,29
68,0.169523,29
69,0.182018,29
70,0.175109,29
71,0.172948,29
72,0.175386,29
73,0.180146,29
74,0.183432,29
75,0.177554,29
76,0.176883,29
77,0.174052,29
78,0.175221,29
79,0.173080,29
80,0.174263,29
81,0.172258,29
82,0.177136,29
83,0.175711,29
84,0.175787,29
85,0.172432,29
86,0.177076,29
87,0.176612,29
88,0.172323,29
89,0.849296,29
90,0.388774,29
91,0.212804,29
92,0.213934,29
93,0.249336,29
94,0.260857,29
95,0.253931,29
96,0.215279,29
97,0.205118,29
98,0.225219,29
99,0.457277,29
100,0.127620,29
