test_number,evaluation_time_seconds,cores_used
1,0.362339,26
2,0.391483,26
3,0.378146,26
4,0.368294,26
5,0.364128,26
6,0.373241,26
7,0.378771,26
8,0.372471,26
9,0.371114,26
10,0.367163,26
11,0.373241,26
12,0.367915,26
13,0.387214,26
14,0.370258,26
15,0.388618,26
16,0.385306,26
17,0.374072,26
18,0.371525,26
19,0.372106,26
20,0.366497,26
21,0.366996,26
22,0.373577,26
23,0.384084,26
24,0.371982,26
25,0.392350,26
26,0.364972,26
27,0.371074,26
28,0.380859,26
29,0.282659,26
30,0.199145,26
31,0.193502,26
32,0.196665,26
33,0.196223,26
34,0.199657,26
35,0.205673,26
36,0.201805,26
37,0.196283,26
38,0.191709,26
39,0.199948,26
40,0.195321,26
41,0.197482,26
42,0.196678,26
43,0.202758,26
44,0.196328,26
45,0.198270,26
46,0.204487,26
47,0.205772,26
48,0.197172,26
49,0.199251,26
50,0.200795,26
51,0.193886,26
52,0.203459,26
53,0.195953,26
54,0.194039,26
55,0.196134,26
56,0.293330,26
57,0.370401,26
58,0.369256,26
59,0.368570,26
60,0.368651,26
61,0.368353,26
62,0.374739,26
63,0.376107,26
64,0.367918,26
65,0.383346,26
66,0.377387,26
67,0.381361,26
68,0.372225,26
69,0.391088,26
70,0.373209,26
71,0.366108,26
72,0.373143,26
73,0.378596,26
74,0.387460,26
75,0.371877,26
76,0.370735,26
77,0.370703,26
78,0.370862,26
79,0.368384,26
80,0.374749,26
81,0.371812,26
82,0.378513,26
83,0.377625,26
84,0.375988,26
85,0.365928,26
86,0.379639,26
87,0.377396,26
88,0.379020,26
89,0.362883,26
90,0.389119,26
91,0.373932,26
92,0.380884,26
93,0.370348,26
94,0.371131,26
95,0.517910,26
96,0.612523,26
97,0.342203,26
98,0.239671,26
99,0.211341,26
100,0.345984,26
