Generations 100
Tau 0.070711
Epsilon0 0.000010
Lambda 150
Mu 50
BoxMin -1.000000
BoxMax 1.000000
EvaluationTime 0.5447
Fitness 0.504611
Sigma 0.071451
Points 200

Points (x,y,z):
0.841576 0.518366 0.352191
-0.777529 0.244554 0.512937
-0.840343 0.573827 0.474453
-0.641857 -0.853060 -0.210629
-0.944658 -0.599640 0.038391
-0.104040 -0.986238 -0.610101
-0.044241 0.778342 0.784679
0.774607 0.257140 0.196756
-0.158096 -0.986944 0.358578
0.267829 -0.270003 0.770395
-0.106315 0.514888 0.828711
-0.560514 0.280197 0.674027
-0.149966 0.831074 -0.563983
-0.544287 -0.638709 0.665687
-0.956109 -0.528214 0.054916
-0.205228 0.507084 0.812959
-0.909924 0.162724 0.437819
-0.341358 0.845444 -0.480572
0.087339 0.023185 -0.052092
0.498580 0.127965 -0.930579
0.672617 -0.754653 -0.113585
-0.034676 0.080398 0.957921
0.106231 0.556513 -0.939421
0.672317 -0.144505 -0.501108
-0.719200 0.075688 0.532818
0.875803 0.655241 0.382783
0.069371 -0.022234 0.545272
-0.676459 0.717212 0.544253
-0.639583 -0.302976 0.686314
0.377150 0.812167 0.332674
-0.383525 -0.739134 -0.770660
0.494948 -0.244765 -0.963683
0.489507 0.828296 0.179122
0.240990 0.805587 0.168076
0.457983 0.976505 -0.347695
0.338989 0.212354 -0.799138
-0.590594 0.143745 -0.642618
-0.834491 -0.278492 0.782717
0.242263 0.929697 -0.320096
-0.595262 -0.093104 -0.809850
0.251993 0.864333 -0.263144
-0.161787 -0.159864 -0.899459
0.661447 0.169134 0.107074
-0.733521 0.364367 0.320353
-0.957956 -0.547131 0.505449
0.158390 0.071862 -0.798842
-0.627165 -0.153329 -0.632796
0.415247 0.983171 0.306312
0.640942 -0.620237 0.110541
-0.520332 -0.600435 -0.683357
-0.212363 0.238612 0.933936
-0.502567 0.207700 0.620264
0.475672 0.418882 0.742535
0.579253 0.800139 0.447628
0.449403 -0.625321 0.627538
-0.150308 -0.446471 -0.668039
-0.733587 -0.505608 -0.396583
-0.411628 0.295453 0.715732
-0.591111 -0.749428 0.330920
0.379198 0.987286 0.230491
-0.255809 -0.061688 0.966725
0.393801 -0.446634 -0.798238
-0.926321 0.049214 -0.294855
-0.367513 0.452105 -0.719938
-0.146731 -0.432328 0.888398
-0.637223 0.636814 0.545238
0.878792 0.379249 0.595502
-0.955244 -0.443819 -0.074364
-0.535200 -0.815193 -0.460485
-0.210507 0.770826 0.167946
-0.520209 0.743171 0.151596
-0.020290 -0.503840 -0.584900
-0.527765 -0.570750 0.580508
-0.087993 0.649954 -0.864884
-0.533637 0.803839 0.384961
0.547484 0.570210 0.635103
0.658201 0.139908 -0.354318
0.059918 0.934243 0.182048
-0.471854 0.116904 -0.856962
-0.135078 0.791874 -0.291536
0.938339 0.455676 0.076809
0.455007 -0.333554 0.806947
-0.575277 -0.349711 -0.624657
-0.625353 -0.203555 0.754842
0.414819 -0.772509 -0.698588
0.122985 -0.678456 -0.853077
0.150581 0.927097 -0.404794
0.624813 -0.170767 -0.403319
-0.109996 -0.794076 -0.412409
0.746667 -0.659332 -0.034903
-0.623667 -0.089972 0.693458
0.601955 0.777626 -0.274979
0.875205 0.134260 0.668137
0.920420 0.291935 0.120421
-0.979247 -0.023251 0.578950
0.312889 0.694530 -0.633102
-0.851769 -0.708798 -0.039189
-0.784456 0.472289 0.636541
0.143502 0.785564 0.326890
0.730926 0.388531 -0.184276
0.157965 -0.838055 0.058121
-0.358154 0.190605 0.820399
-0.165365 0.674628 0.833264
-0.263109 0.760353 -0.377270
0.713588 0.338161 0.021696
0.822747 0.440242 0.441586
-0.572894 -0.818165 -0.516438
-0.326389 0.471735 0.643269
0.772146 -0.139069 0.386036
0.373315 -0.782501 -0.414441
0.212676 0.358856 -0.833108
-0.744099 -0.275484 -0.815033
-0.512447 0.680064 -0.529316
0.257072 -0.488608 -0.557019
0.727902 0.747703 0.285167
0.417870 0.008617 -0.739877
-0.655950 0.639593 -0.068263
-0.113520 0.975885 0.569435
0.544377 -0.521017 -0.176533
0.643114 -0.390433 0.561103
0.144144 -0.108878 -0.166667
-0.411211 -0.239437 -0.624424
-0.299607 -0.691877 -0.571774
0.741307 -0.511385 -0.333620
0.257866 0.666833 0.665578
0.685753 -0.259362 -0.177810
0.073870 0.155304 0.886739
0.389799 -0.269108 0.838338
0.322253 0.560808 0.862788
-0.405955 -0.533542 0.882227
-0.295185 -0.125434 0.047949
0.458368 0.529936 0.892288
0.312782 0.678601 0.393111
0.770880 0.565507 -0.390717
-0.802961 -0.446755 -0.167810
0.679226 -0.565546 0.413902
-0.374289 -0.830356 0.200180
0.181984 0.504398 0.325089
0.274929 -0.979174 0.029599
-0.514351 -0.420636 -0.742618
-0.711190 -0.074205 -0.580902
-0.345973 0.578563 0.666041
0.261114 0.874438 0.507069
-0.278977 -0.401293 -0.774751
0.205668 0.485683 0.560759
-0.896317 -0.518291 0.278368
-0.449662 0.798162 -0.526903
0.876298 -0.217277 -0.209850
0.499030 -0.739334 -0.709074
0.916520 0.462542 -0.086682
0.652691 -0.451542 -0.711665
0.676077 0.700175 0.106689
0.310850 -0.969716 -0.231588
-0.723209 0.434185 0.608254
0.364919 0.846338 0.365187
0.540961 -0.459308 -0.844936
0.354640 -0.316619 -0.684515
-0.378875 -0.071182 0.809732
0.736710 0.128117 -0.567660
0.412941 0.470713 -0.885595
-0.884933 0.156495 0.258595
0.845026 -0.482209 -0.388965
-0.012840 0.627441 0.469877
-0.116762 -0.179997 0.346946
-0.465519 -0.784217 0.400220
-0.223045 0.823250 0.597387
0.731990 -0.407603 0.490106
-0.593814 0.869091 0.352539
0.288801 0.753758 0.643370
0.215598 -0.704025 0.613433
0.775988 -0.318358 0.393119
0.466195 -0.714275 0.414126
0.283322 -0.767871 -0.530953
-0.635351 -0.133570 -0.602802
0.317948 0.902550 -0.332631
-0.345305 0.919459 0.380951
-0.533662 -0.772984 0.192273
-0.003715 -0.293083 0.915472
0.190263 -0.646714 0.614142
0.053775 0.980045 -0.385154
0.044326 0.758960 0.879542
-0.358582 0.828070 -0.022433
0.799850 0.417855 -0.238822
0.432622 -0.080978 -0.704831
-0.244121 -0.897911 -0.106860
-0.516006 -0.827853 -0.354171
-0.445372 -0.450801 -0.444331
0.425609 -0.920960 -0.550300
-0.882218 0.324850 -0.420241
-0.392240 0.418947 0.712463
-0.564623 -0.659231 0.321434
-0.173260 -0.031771 -0.384069
0.510371 -0.624998 -0.489095
-0.550615 0.856841 0.274718
0.975891 0.407342 -0.053529
-0.202056 -0.496500 -0.994415
-0.974502 -0.110540 -0.362391
-0.502109 0.129909 0.678632
-0.180334 0.606249 -0.732578
-0.273071 -0.799043 0.283431
