test_number,evaluation_time_seconds,cores_used
1,0.325290,22
2,0.369561,22
3,0.356981,22
4,0.347148,22
5,0.341468,22
6,0.351953,22
7,0.357401,22
8,0.350406,22
9,0.348979,22
10,0.345220,22
11,0.351842,22
12,0.346337,22
13,0.366023,22
14,0.348325,22
15,0.368135,22
16,0.363821,22
17,0.353555,22
18,0.349130,22
19,0.343563,22
20,0.338431,22
21,0.338192,22
22,0.345426,22
23,0.354633,22
24,0.339515,22
25,0.362005,22
26,0.332692,22
27,0.340361,22
28,0.352171,22
29,0.345634,22
30,0.348570,22
31,0.338369,22
32,0.345122,22
33,0.341379,22
34,0.349667,22
35,0.359758,22
36,0.352096,22
37,0.343811,22
38,0.336472,22
39,0.350110,22
40,0.342434,22
41,0.346143,22
42,0.345824,22
43,0.355689,22
44,0.343980,22
45,0.347273,22
46,0.358149,22
47,0.360783,22
48,0.344890,22
49,0.348181,22
50,0.351240,22
51,0.339878,22
52,0.355430,22
53,0.344202,22
54,0.338904,22
55,0.343648,22
56,0.355164,22
57,0.344019,22
58,0.342262,22
59,0.342221,22
60,0.343128,22
61,0.342037,22
62,0.350450,22
63,0.351750,22
64,0.342238,22
65,0.359533,22
66,0.353048,22
67,0.356330,22
68,0.345153,22
69,0.366029,22
70,0.346496,22
71,0.338381,22
72,0.347064,22
73,0.353327,22
74,0.361752,22
75,0.346338,22
76,0.345447,22
77,0.344449,22
78,0.344274,22
79,0.341703,22
80,0.348154,22
81,0.345806,22
82,0.352292,22
83,0.350742,22
84,0.349001,22
85,0.338484,22
86,0.353160,22
87,0.351529,22
88,0.353230,22
89,0.333959,22
90,0.363208,22
91,0.347224,22
92,0.357550,22
93,0.346823,22
94,0.347147,22
95,0.346888,22
96,0.345953,22
97,0.349617,22
98,0.365802,22
99,0.351331,22
100,0.352474,22
