test_number,evaluation_time_seconds,cores_used
1,0.544987,17
2,0.578012,17
3,0.559072,17
4,0.541840,17
5,0.532878,17
6,0.550443,17
7,0.559000,17
8,0.547847,17
9,0.544703,17
10,0.539306,17
11,0.549903,17
12,0.541917,17
13,0.572897,17
14,0.544062,17
15,0.575788,17
16,0.569166,17
17,0.552571,17
18,0.545559,17
19,0.547929,17
20,0.538706,17
21,0.538755,17
22,0.549947,17
23,0.564951,17
24,0.540402,17
25,0.575378,17
26,0.529410,17
27,0.540669,17
28,0.559058,17
29,0.548062,17
30,0.553390,17
31,0.537881,17
32,0.546157,17
33,0.542186,17
34,0.554180,17
35,0.570139,17
36,0.558836,17
37,0.544818,17
38,0.533562,17
39,0.554294,17
40,0.541539,17
41,0.546949,17
42,0.547159,17
43,0.562682,17
44,0.545397,17
45,0.550230,17
46,0.565949,17
47,0.571083,17
48,0.545889,17
49,0.549741,17
50,0.560321,17
51,0.538575,17
52,0.562062,17
53,0.544861,17
54,0.536796,17
55,0.542982,17
56,0.560429,17
57,0.542602,17
58,0.540095,17
59,0.539766,17
60,0.540597,17
61,0.539564,17
62,0.551266,17
63,0.553960,17
64,0.538558,17
65,0.564459,17
66,0.554083,17
67,0.562421,17
68,0.547090,17
69,0.579154,17
70,0.547989,17
71,0.535555,17
72,0.548813,17
73,0.559014,17
74,0.572181,17
75,0.546663,17
76,0.544461,17
77,0.545640,17
78,0.543894,17
79,0.540210,17
80,0.549506,17
81,0.546366,17
82,0.556906,17
83,0.554775,17
84,0.552126,17
85,0.535650,17
86,0.558349,17
87,0.556213,17
88,0.557378,17
89,0.528026,17
90,0.572507,17
91,0.545587,17
92,0.557317,17
93,0.541170,17
94,0.542795,17
95,0.540508,17
96,0.540974,17
97,0.547126,17
98,0.569951,17
99,0.548495,17
100,0.550783,17
