Generations 600
Tau 0.070711
Epsilon0 0.000010
Lambda 150
Mu 50
BoxMin -1.000000
BoxMax 1.000000
EvaluationTime 3.0196
Fitness 0.949546
Sigma 0.011592
Points 200

Points (x,y,z):
0.353525 -0.774857 -0.495825
-0.943650 -0.013376 -0.440250
-0.526600 0.300043 0.724958
-0.556751 0.685456 -0.391669
-0.547144 -0.711883 0.355276
0.438653 0.655392 0.460692
0.359571 -0.648925 -0.593131
0.247298 -0.738393 0.519494
0.558808 -0.261561 0.710798
-0.801620 -0.178017 0.512058
0.602570 0.562656 0.465429
0.391375 -0.806729 0.356413
0.007246 -0.727535 -0.646103
-0.157288 0.909703 0.059464
0.491036 -0.610630 0.573492
0.602159 0.667230 -0.396186
-0.997743 0.101358 0.168486
0.363856 -0.380116 -0.783022
0.650544 -0.620920 -0.379802
-0.740150 -0.054386 -0.657023
0.410595 -0.653938 -0.524755
-0.810278 0.173362 0.574092
0.349649 -0.849448 -0.335513
0.483343 -0.623061 0.606464
0.860916 -0.353674 0.354136
0.541637 -0.593181 -0.622720
0.607636 -0.723010 0.045792
-0.774840 -0.009218 -0.385448
-0.662617 0.026336 0.618218
0.346565 -0.571774 0.618651
-0.062768 -0.277545 0.963818
0.406654 0.009241 0.834682
-0.201145 0.850471 -0.385583
-0.208201 -0.362689 0.912380
0.426060 -0.124415 -0.875554
0.749307 0.062517 -0.447874
-0.589094 0.685882 0.297490
0.076741 -0.937162 -0.176543
0.259326 0.577383 0.780376
0.471767 -0.385346 -0.839036
-0.156906 0.777453 0.392810
0.590264 0.733353 0.244626
0.428337 -0.886393 -0.290245
-0.478178 0.277649 0.807092
0.028087 -0.002390 -0.988309
0.919743 -0.060438 -0.333877
-0.045654 -0.825979 -0.519852
0.822118 -0.029844 0.370848
0.825247 -0.570139 0.242127
0.816726 0.007626 -0.435773
-0.223761 0.647672 -0.749019
0.930221 -0.228542 -0.125083
0.696536 0.655936 0.234919
0.447597 -0.617060 -0.554973
0.707563 0.578478 0.439586
0.835281 -0.388007 0.300298
-0.866141 -0.420243 0.308222
0.411312 0.660680 0.403145
-0.221601 0.946811 0.192758
0.817310 0.201654 0.490807
-0.311364 -0.897037 -0.322032
0.060151 -0.306498 0.503131
0.496282 -0.262381 0.834159
-0.570154 -0.452473 -0.629230
0.603091 -0.448161 -0.594611
0.302697 0.789742 -0.542849
-0.754907 -0.158518 -0.666639
0.857228 -0.288574 -0.075201
0.496622 0.746466 -0.179803
-0.852990 0.060708 -0.519505
-0.242202 0.781953 0.483090
-0.371515 0.522644 -0.579142
0.404744 0.819151 0.317150
-0.583230 0.138316 -0.745082
0.270419 -0.685631 -0.721358
0.476536 0.781946 0.281376
0.360481 0.476414 0.653473
-0.512738 0.171495 0.734660
0.010286 0.653181 0.719026
0.065841 0.956362 -0.241933
0.542825 -0.852497 -0.251301
0.518483 0.756365 -0.284287
0.195326 -0.784435 -0.442670
0.037189 0.401684 0.877486
0.561183 0.406800 -0.631000
-0.023194 0.693460 0.685763
0.387914 0.668275 -0.475190
-0.807934 -0.527773 0.125274
0.324451 0.045999 -0.911798
0.443702 -0.030029 0.873316
0.806771 0.056800 -0.490426
0.121613 0.361428 0.844037
0.265571 0.395299 -0.858341
-0.890452 0.226866 0.184089
0.493794 -0.085098 0.735309
0.612847 -0.651807 0.413792
-0.456380 0.707087 0.492940
-0.284226 0.823459 0.256311
-0.198443 -0.714222 -0.636567
0.650127 -0.780021 -0.193027
-0.765404 -0.482504 0.137345
-0.398364 0.001032 -0.894425
0.827203 0.377933 0.376426
0.436263 0.654039 0.618240
-0.457945 0.146140 0.838099
-0.465760 -0.856197 -0.321497
-0.024388 -0.731294 -0.664206
-0.657281 0.284410 0.667115
0.153924 -0.860024 -0.420507
0.828772 -0.022652 -0.467431
-0.388023 -0.894888 0.202652
-0.698997 -0.437562 -0.470827
0.734061 -0.694440 -0.071819
0.489217 0.006368 -0.788369
-0.460749 0.596893 -0.650328
0.686798 0.614841 -0.203294
0.788130 0.516513 -0.178874
0.303185 0.706823 0.601469
-0.660451 -0.401653 -0.479226
-0.833296 -0.013622 -0.609369
0.660820 -0.597736 0.353303
-0.847328 0.214626 -0.471596
-0.257808 0.834327 0.311502
0.444101 -0.709277 -0.543658
0.332123 -0.712195 0.452610
-0.384618 -0.218428 -0.932367
-0.104282 0.054600 0.970801
0.218711 -0.941315 0.074509
0.595798 -0.554126 -0.572950
-0.938907 0.067989 0.286470
-0.600916 -0.701521 -0.331811
-0.330111 0.659228 -0.602927
-0.816588 -0.002894 -0.563818
-0.611737 -0.688618 -0.221401
-0.526716 0.740372 -0.349393
-0.284383 -0.637759 -0.554943
-0.096605 -0.658819 -0.693463
0.388395 -0.770416 -0.153695
-0.073564 -0.848492 -0.264367
0.569967 0.722955 -0.406469
-0.170639 -0.913179 0.324129
0.611284 0.561731 0.444971
-0.387738 0.202169 0.827816
0.010224 -0.942578 -0.261175
-0.246275 0.971501 0.023080
-0.402264 0.578313 -0.668971
0.256935 0.825040 0.317902
-0.594917 -0.695931 0.382251
-0.707816 0.321437 -0.659797
-0.115538 0.906446 0.087727
