test_number,evaluation_time_seconds,cores_used
1,0.412415,20
2,0.453893,20
3,0.437527,20
4,0.424983,20
5,0.418199,20
6,0.430813,20
7,0.437765,20
8,0.428798,20
9,0.426611,20
10,0.422488,20
11,0.429235,20
12,0.422226,20
13,0.445922,20
14,0.423761,20
15,0.448279,20
16,0.443594,20
17,0.431162,20
18,0.425959,20
19,0.427117,20
20,0.420585,20
21,0.420538,20
22,0.435643,20
23,0.439420,20
24,0.420282,20
25,0.447768,20
26,0.411182,20
27,0.422000,20
28,0.436230,20
29,0.427574,20
30,0.430935,20
31,0.418783,20
32,0.426294,20
33,0.423882,20
34,0.433270,20
35,0.445337,20
36,0.436697,20
37,0.425737,20
38,0.417073,20
39,0.433226,20
40,0.423212,20
41,0.428282,20
42,0.427392,20
43,0.439703,20
44,0.426586,20
45,0.429976,20
46,0.442852,20
47,0.446290,20
48,0.427537,20
49,0.430795,20
50,0.435605,20
51,0.422193,20
52,0.440271,20
53,0.427314,20
54,0.420760,20
55,0.425468,20
56,0.439441,20
57,0.425248,20
58,0.423754,20
59,0.423223,20
60,0.424493,20
61,0.423660,20
62,0.433248,20
63,0.434847,20
64,0.422414,20
65,0.443556,20
66,0.435237,20
67,0.441253,20
68,0.429343,20
69,0.454623,20
70,0.431369,20
71,0.420642,20
72,0.430674,20
73,0.434741,20
74,0.449214,20
75,0.430245,20
76,0.428447,20
77,0.429260,20
78,0.428278,20
79,0.425327,20
80,0.432879,20
81,0.430145,20
82,0.438340,20
83,0.436504,20
84,0.433949,20
85,0.421093,20
86,0.439160,20
87,0.438018,20
88,0.438949,20
89,0.414968,20
90,0.450832,20
91,0.430128,20
92,0.438572,20
93,0.424363,20
94,0.423210,20
95,0.422639,20
96,0.421546,20
97,0.427163,20
98,0.444676,20
99,0.427766,20
100,0.429592,20
