test_number,evaluation_time_seconds,cores_used
1,0.118795,28
2,0.138911,28
3,0.135919,28
4,0.131431,28
5,0.129528,28
6,0.133188,28
7,0.135330,28
8,0.132932,28
9,0.132048,28
10,0.130766,28
11,0.132891,28
12,0.131169,28
13,0.137003,28
14,0.130078,28
15,0.136930,28
16,0.137970,28
17,0.135241,28
18,0.133943,28
19,0.133824,28
20,0.132970,28
21,0.132606,28
22,0.135384,28
23,0.137629,28
24,0.132212,28
25,0.138781,28
26,0.130844,28
27,0.132298,28
28,0.135306,28
29,0.133386,28
30,0.134539,28
31,0.131722,28
32,0.133880,28
33,0.133355,28
34,0.134808,28
35,0.137978,28
36,0.135595,28
37,0.132751,28
38,0.132063,28
39,0.134991,28
40,0.132808,28
41,0.133439,28
42,0.133001,28
43,0.135841,28
44,0.133042,28
45,0.134514,28
46,0.136621,28
47,0.137448,28
48,0.133343,28
49,0.134287,28
50,0.134898,28
51,0.132335,28
52,0.136159,28
53,0.132692,28
54,0.131289,28
55,0.131207,28
56,0.135544,28
57,0.133136,28
58,0.131980,28
59,0.131144,28
60,0.131109,28
61,0.131001,28
62,0.132323,28
63,0.133417,28
64,0.130718,28
65,0.135787,28
66,0.135741,28
67,0.136704,28
68,0.133304,28
69,0.138519,28
70,0.134266,28
71,0.131773,28
72,0.133984,28
73,0.135126,28
74,0.138382,28
75,0.133700,28
76,0.133572,28
77,0.133238,28
78,0.132786,28
79,0.132196,28
80,0.134568,28
81,0.133702,28
82,0.133975,28
83,0.133862,28
84,0.133580,28
85,0.130229,28
86,0.134892,28
87,0.134473,28
88,0.134994,28
89,0.129575,28
90,0.137457,28
91,0.133194,28
92,0.858703,28
93,0.214241,28
94,0.336727,28
95,0.248836,28
96,0.287760,28
97,0.183132,28
98,0.319023,28
99,0.284536,28
100,0.305234,28
