test_number,evaluation_time_seconds,cores_used
1,0.459330,19
2,0.494217,19
3,0.476375,19
4,0.463101,19
5,0.456165,19
6,0.470146,19
7,0.478467,19
8,0.468118,19
9,0.465525,19
10,0.460686,19
11,0.469784,19
12,0.462561,19
13,0.488826,19
14,0.464131,19
15,0.491118,19
16,0.486469,19
17,0.472885,19
18,0.466332,19
19,0.467956,19
20,0.457322,19
21,0.457259,19
22,0.466894,19
23,0.479250,19
24,0.459373,19
25,0.488728,19
26,0.449468,19
27,0.459368,19
28,0.475970,19
29,0.466393,19
30,0.470216,19
31,0.456921,19
32,0.466851,19
33,0.464518,19
34,0.474809,19
35,0.488940,19
36,0.479547,19
37,0.467386,19
38,0.458670,19
39,0.476766,19
40,0.465869,19
41,0.470272,19
42,0.470042,19
43,0.486042,19
44,0.472659,19
45,0.476871,19
46,0.490917,19
47,0.494505,19
48,0.473452,19
49,0.475842,19
50,0.479512,19
51,0.462791,19
52,0.482457,19
53,0.467758,19
54,0.460882,19
55,0.466208,19
56,0.480950,19
57,0.463948,19
58,0.459247,19
59,0.457753,19
60,0.458171,19
61,0.458323,19
62,0.468546,19
63,0.470968,19
64,0.458046,19
65,0.479400,19
66,0.470923,19
67,0.477580,19
68,0.464814,19
69,0.491935,19
70,0.465278,19
71,0.455097,19
72,0.466544,19
73,0.475047,19
74,0.486698,19
75,0.464365,19
76,0.461796,19
77,0.463360,19
78,0.462283,19
79,0.458597,19
80,0.468014,19
81,0.464112,19
82,0.473170,19
83,0.471650,19
84,0.469376,19
85,0.455125,19
86,0.471833,19
87,0.470869,19
88,0.471962,19
89,0.447095,19
90,0.485133,19
91,0.463033,19
92,0.472911,19
93,0.459775,19
94,0.460694,19
95,0.460041,19
96,0.460208,19
97,0.465040,19
98,0.485021,19
99,0.466773,19
100,0.468825,19
